vin_label,vsi_grad_last8,vsi_trend_persistence,vsi_accel,vsi_drive_mean_last60_delta,vsi_rest_median_last90_delta,crank_dur_last90_delta,min_vsi_crank_p05_last90_delta,recovery_slope_last90_delta,failed_crank_rate_last30,failed_crank_rate_last60,failed_crank_rate_delta90,vsi_vov_cv,vsi_rollstd4_last_ratio,vsi_weekly_entropy,dip_depth_skew,dip_depth_kurt,crank_dur_cv,vsi_std_ratio_60d,vsi_std_ratio_90d,vsi_withinwk_std_ratio_30d,crank_health_last90,vsi_rest_p05_trend,vsi_rest_p05_last90_delta,sma_duty_last90,sma_duty_ratio_90,below21_rate_ratio_90,vsi_drive_zage_last90,vsi_drive_zage_abs_last90,vsi_dominant_freq_fix24
VIN10_F_SM,-0.04821364084879557,0.5555555555555556,-0.060924530029296875,-0.687102770124163,-0.6560712995983309,0.15698587127158525,1.3740003585815437,-0.3800332121460226,0.5641025641025641,0.46808510638297873,0.3171114599686028,2.294896517842018,6.911814302287251,0.3587212951611399,0.7389782674077143,1.0982959429564048,0.7389777598117572,1.9306051814002922,1.7911422695597858,2.9133825886265083,0.4239072542908869,-0.023255813953488372,-0.274404661996023,0.6333333333333333,1.63875,1.2620556303481363,-3.465004518621631,3.465004518621631,0.041666666666666664
VIN10_NF_SM,0.009348074595133465,0.1111111111111111,0.007833480834960938,-0.0741982325068058,-0.5310899340189437,-0.3787878787878789,-2.2600001335144047,0.35304501840518543,0.05,0.027777777777777776,-0.17557379795610656,0.8829918173763726,1.0086651443882417,0.8834750626009505,0.1555558158072983,-0.7313522506455921,0.2953940671388126,0.40403642864185035,0.4106140422987851,0.8644846446720588,1.5098894288196592,-0.07096773578274634,-2.231410448367779,0.5529411764705883,0.4780045899263196,3.7409072575824003,-1.0602916276411087,1.0602916276411087,0.08333333333333333
VIN11_F_SM,-0.026609102884928383,0.5555555555555556,-0.059115091959635414,-0.15654564740365018,-0.12562622599651974,-0.24657534246575352,-1.0679991245269775,0.4531471870751025,0.1111111111111111,0.06451612903225806,-0.004466944609886836,1.084739846867767,4.512769459514727,0.5023437234948089,0.32261266946098244,-0.3274005836526044,0.3274911044699288,1.9385270264519097,1.6440667736257004,2.3907646415802906,1.678577064508017,-0.002600054324383711,-0.12241317495860926,0.5222222222222223,1.1281014023732472,0.41836345203296293,0.04548683810131472,0.6672873690644034,0.041666666666666664
VIN11_NF_SM,-0.00980377197265625,0.3333333333333333,-0.0111846923828125,0.028534859877368035,-0.0885899861653634,-0.059077421095225624,0.4099996566772468,0.011167477345007892,0.0,0.0032679738562091504,-0.378542328042328,0.6304126455486955,0.80413979054566,0.7679122490174175,0.6872157433809035,1.9050609459771,0.12562746472131478,0.5819829910375248,0.6134855423471263,0.9049489063413125,1.1312406427319432,0.0,0.10615363487830365,5.166666666666667,0.5601995565410199,1.1074973896852707,0.28229918594927444,0.31291901473667055,0.16666666666666666
VIN12_F_SM,0.027193069458007812,0.7777777777777778,0.014307022094726562,0.09546982674371662,0.07228685961939263,-0.1923076923076925,-1.368999862670897,0.17597265083790625,0.045454545454545456,0.045454545454545456,0.01776001776001776,0.5364917885527541,1.5426604057528337,0.9013272735269686,0.8099539897832664,1.4972037029037706,0.33939824951702907,0.9724709454500658,1.208153341997963,2.3981783388224085,1.2410172608073518,0.013333341810438368,0.001871073320351968,0.6923076923076923,0.6384821612703651,0.7774822811634352,-2.5019621260458105,2.5019621260458105,0.08333333333333333
VIN12_NF_SM,0.0013551712036132812,0.3333333333333333,-0.016727447509765625,0.05758326681036863,-0.005555848993807899,-0.0470588235294116,0.9800009727478027,0.16855527048197172,0.0,0.0,-0.06588235294117648,0.6965566725945473,0.4927871256115265,0.7510310472204134,0.04348753863217495,-0.18072744909972327,0.12789879186382358,0.31474826114490556,0.424501329190088,0.8919194377854812,1.3268666712443036,0.0033333460489908856,0.34752129611806026,0.6,0.8944329896907217,0.6093310680657087,0.048994486226889115,0.13198884933224495,0.041666666666666664
VIN13_F_SM,-0.09785318374633789,0.1111111111111111,-0.12700716654459634,0.4455555657208983,-0.7575961259695205,-0.20800000000000018,1.0680006027221687,0.06821865218724943,0.16666666666666666,0.05263157894736842,0.06060606060606061,0.9913385910461362,3.4017211067078454,0.8389059265524206,0.24049579524859022,-0.03599034216416497,0.2301023343893779,1.2641905589446398,1.0875678701124172,1.2762680376809086,1.5154591749320223,-0.04587799197151547,-1.4498075338510361,0.375,0.9801136363636364,1.2546310579086613,5.637884093596131,5.637884093596131,0.041666666666666664
VIN13_NF_SM,0.012847900390625,0.1111111111111111,0.05360221862792969,-0.08855804678512058,-0.8498869870043464,-0.2702702702702702,0.8299998283386216,0.028732779272592435,0.0,0.0,-0.10975609756097561,0.5895280862366546,0.46096561054067364,0.8243667998576092,0.23850702675511787,-0.6933286495903466,0.2183255195240688,0.41500464876431997,0.44598584312401807,1.0446037012998055,1.5546666890924628,-0.026272651962003797,-0.6359727652364207,0.6703296703296703,0.744493804068272,1.1656662242009186,1.2336332249630158,1.2336332249630158,0.041666666666666664
VIN14_F_SM,0.11129862921578543,0.7777777777777778,0.0719617207845052,0.7595429261525481,-2.222592549446304,3.1558952675231744,-2.4399990081787095,0.33900208618159633,0.28,0.225,0.13181005041470162,1.1485184974691987,3.1581341185430554,0.6545790704123526,0.9180917380341906,1.5326394638327638,0.8764825372456956,0.9303690548230145,0.8650307390107215,3.7516818824744527,0.7588218583437182,-0.037037037037037035,-2.38311950569479,3.010989010989011,1.3088760619742505,3.0196670318594627,3.98236357776216,3.98236357776216,0.041666666666666664
VIN14_NF_SM,-0.00239102045694987,0.3333333333333333,-0.010229746500651041,0.0593664116329613,-0.13876326366137448,0.0,-4.24999918937683,0.31812721982640757,0.2,0.14285714285714285,0.09802197802197801,0.9229332671798488,0.3980328005917091,0.8089580304471532,0.15927390227185115,1.1629497150610613,0.0,0.1844618604820126,0.2068468487987688,0.6904027436222838,1.3752689311769275,-0.0029076211118467766,-0.11693545310728126,0.28735632183908044,0.617730057127125,0.31894222470525774,0.7810869767955265,0.7810869767955265,0.041666666666666664
