vin_label,failed,vsi_std_ratio_30d_L40,vsi_withinwk_std_ratio_30d_w,vsi_range_trend,vsi_trend_persistence,failed_crank_rate_last90,retry_burst_rate_last90,extended_crank_tail_rate_last90,first_crank_fail_rate_last90,rest_vsi_p05_delta90,dip_depth_last90_delta
VIN10_F_SM,1,1.1221542903767163,2.533696381898367,0.06555536058213976,0.5555555555555556,0.4489795918367347,0.03296703296703297,0.022040816326530613,0.24,0.18458342552185059,-0.7930258170418112
VIN10_NF_SM,0,0.271272461358729,0.7764335736200568,0.0,0.1111111111111111,,,,,-1.1230770991398735,
VIN11_F_SM,1,2.1406176754603017,2.0464135744708924,0.0666667620340983,0.5555555555555556,0.043478260869565216,0.0,-0.07159420289855073,0.02702702702702703,0.021923138545108856,1.099743809199027
VIN11_NF_SM,0,0.5130396517275819,0.9050615832584825,0.0,0.3333333333333333,,,,,0.3128202987192701,
VIN12_F_SM,1,0.31129646116372406,2.2059096725708076,0.10000010331471762,0.7777777777777778,0.031746031746031744,0.0,-0.04721030042918455,0.03773584905660377,-0.09239325020727662,-0.05525235356511349
VIN12_NF_SM,0,0.4099454893403171,0.8830002538210785,0.0,0.3333333333333333,,,,,0.4638175910015079,
VIN13_F_SM,1,1.2668100541125284,0.9356136200743806,-0.08000020980834961,0.1111111111111111,0.06060606060606061,0.0,-0.009816474605207001,0.06896551724137931,-0.6553843625929936,0.5823157479656134
VIN13_NF_SM,0,0.19691305903539605,1.1708675388321912,0.0708336035410563,0.1111111111111111,,,,,-0.007977249275924692,
VIN14_F_SM,1,0.6251229322621745,2.542773789747764,0.2018332799275716,0.7777777777777778,0.4090909090909091,0.13043478260869565,0.19828653022370296,0.20833333333333334,-1.6029343537115999,0.9857354137491674
VIN14_NF_SM,0,0.19256329867697822,0.45106730558586206,0.0,0.3333333333333333,0.12,0.011494252873563218,-0.029850746268656716,0.11764705882352941,0.42574080714473084,0.8605329886028663
VIN15_NF_SM,0,0.15287907853919375,0.941389047238436,0.0,0.3333333333333333,0.006024096385542169,0.0,-0.11025497338189968,0.0,0.5712538118715642,0.2456435156164707
VIN16_NF_SM,0,0.06003021753522214,0.5517525066177302,0.0,0.1111111111111111,0.0,0.0,0.03477443609022556,0.0,0.10546274538393519,0.4834465054801962
VIN17_NF_SM,0,0.08080059920030579,0.753685240188456,0.0,0.1111111111111111,0.013157894736842105,0.011494252873563218,0.0053827751196172235,0.0,-0.43336530832143794,0.22596217865300172
VIN18_NF_SM,0,0.279217521287593,0.826005798798151,0.0,0.3333333333333333,0.0,0.0,-0.13525462583920092,0.0,-0.5588461802555962,-0.9043398297022254
VIN19_NF_SM,0,0.24236754440031663,0.9875070186867367,0.0,0.1111111111111111,0.06060606060606061,0.0,0.04447702834799609,0.034482758620689655,0.07626745435926807,-0.7932443110148117
VIN1_F_SM,1,0.19038929985523168,1.0116429639639088,0.0,0.25,0.34782608695652173,0.022222222222222223,0.0883879048130256,0.23809523809523808,-0.2876766153457595,0.011495762779598628
VIN1_NF_SM,0,0.02444259674698588,0.7548185748614574,0.0,0.1111111111111111,0.0,0.0,-0.03896103896103896,0.0,0.546353152674488,-0.05622690374200978
VIN20_NF_SM,0,1.0444524659272807,1.2614343158519334,0.0,0.3333333333333333,,,,,0.1829059144370575,
VIN2_F_SM,1,0.2520027604700951,1.1540200363109419,0.0,0.1111111111111111,0.22535211267605634,0.03488372093023256,0.022968580715059583,0.0,-1.6566667312230834,1.5774736633985595
VIN2_NF_SM,0,0.12661091073237596,1.0751952769952569,-0.012167072296142578,0.1111111111111111,0.17307692307692307,0.022988505747126436,0.03391232423490488,0.05405405405405406,0.01980038721676891,0.25300024564449597
VIN3_F_SM,1,1.2493861172424325,1.3675314002748873,0.11964280264718191,0.3333333333333333,0.020833333333333332,0.011627906976744186,0.041666666666666664,0.013513513513513514,-1.2507048203394966,1.01912233988444
VIN3_NF_SM,0,0.19953683405332343,0.8917425599602419,0.0,0.1111111111111111,0.02564102564102564,0.011494252873563218,-0.004209720627631076,0.03333333333333333,0.5343588478544845,-0.9111858241412101
VIN4_F_SM,1,0.3962549981858452,1.0980053557371023,0.0,0.1111111111111111,0.04081632653061224,0.022222222222222223,-0.04495406409986674,0.011627906976744186,-0.11640990493643955,0.19079205498187957
VIN4_NF_SM,0,0.12670348695510114,0.9139072190298582,0.0,0.1111111111111111,0.06177606177606178,0.02247191011235955,-0.03747216089785359,0.03529411764705882,0.32527057397739156,0.122604341607353
VIN5_F_SM,1,0.72593959760333,3.0663120962849093,0.19809090007435193,1.0,,0.0,,,0.7854385041353993,
VIN5_NF_SM,0,0.6671428124945553,1.1066055326732032,0.0,0.3333333333333333,0.06666666666666667,0.03488372093023256,-0.057777777777777775,0.061224489795918366,-1.1896012216551703,0.9269508076043538
VIN6_F_SM,1,0.8269034985691083,2.0667603425637653,0.20000028610229492,0.3333333333333333,0.09259259259259259,0.0,-0.015594541910331383,0.07894736842105263,-3.15279193889042,4.123001567522684
