vin,priority,trigger,tier,prob,evidence_summary,window_statement,watchlist_badge,sma_dead_badge,silence_trigger_active,timestamp
VIN10_F_SM,P0,H2_dwell_fired,RED,0.9966,,,False,False,True,2026-06-12T19:44:14.077181+00:00
VIN10_F_SM,P0_OPS,silence_overlay,RED,0.9966,silence_overlay,,False,False,True,2026-06-12T19:44:14.077181+00:00
VIN10_NF_SM,P2,AMBER_tier,AMBER,0.3967,,,False,True,True,2026-06-12T19:44:14.077181+00:00
VIN10_NF_SM,P0_OPS,silence_overlay,AMBER,0.3967,silence_overlay,,False,True,True,2026-06-12T19:44:14.077181+00:00
VIN11_F_SM,P0,H2_dwell_fired,RED,0.6368,,,False,False,True,2026-06-12T19:44:14.077181+00:00
VIN11_F_SM,P0_OPS,silence_overlay,RED,0.6368,silence_overlay,,False,False,True,2026-06-12T19:44:14.077181+00:00
VIN12_F_SM,P0,H2_dwell_fired,RED,0.9676,,,False,False,True,2026-06-12T19:44:14.077181+00:00
VIN12_F_SM,P0_OPS,silence_overlay,RED,0.9676,silence_overlay,,False,False,True,2026-06-12T19:44:14.077181+00:00
VIN13_F_SM,P0,H2_dwell_fired,AMBER,0.4846,,,False,False,True,2026-06-12T19:44:14.077181+00:00
VIN13_F_SM,P0_OPS,silence_overlay,AMBER,0.4846,silence_overlay,,False,False,True,2026-06-12T19:44:14.077181+00:00
VIN14_F_SM,P0,H2_dwell_fired,RED,0.9956,,,False,False,True,2026-06-12T19:44:14.077181+00:00
VIN14_F_SM,P0_OPS,silence_overlay,RED,0.9956,silence_overlay,,False,False,True,2026-06-12T19:44:14.077181+00:00
VIN20_NF_SM,P2,AMBER_tier,AMBER,0.4511,,,False,True,True,2026-06-12T19:44:14.077181+00:00
VIN20_NF_SM,P0_OPS,silence_overlay,AMBER,0.4511,silence_overlay,,False,True,True,2026-06-12T19:44:14.077181+00:00
VIN2_F_SM,P1,RED_tier_no_channel_yet,RED,0.6676,,,False,False,True,2026-06-12T19:44:14.077181+00:00
VIN2_F_SM,P0_OPS,silence_overlay,RED,0.6676,silence_overlay,,False,False,True,2026-06-12T19:44:14.077181+00:00
VIN2_NF_SM,P0,H2_dwell_fired,GREEN,0.3191,,,True,False,False,2026-06-12T19:44:14.077181+00:00
VIN3_F_SM,P0,H2_dwell_fired,GREEN,0.3200,,,False,False,False,2026-06-12T19:44:14.077181+00:00
VIN5_F_SM,P0,H2_dwell_fired,RED,0.9966,,,False,False,True,2026-06-12T19:44:14.077181+00:00
VIN5_F_SM,P0_OPS,silence_overlay,RED,0.9966,silence_overlay,,False,False,True,2026-06-12T19:44:14.077181+00:00
VIN5_NF_SM,P0,H2_dwell_fired,RED,0.9612,,,True,False,False,2026-06-12T19:44:14.077181+00:00
VIN6_F_SM,P0,H2_dwell_fired,RED,1.0000,,,False,False,True,2026-06-12T19:44:14.077181+00:00
VIN6_F_SM,P0_OPS,silence_overlay,RED,1.0000,silence_overlay,,False,False,True,2026-06-12T19:44:14.077181+00:00
VIN6_NF_SM,P0,H2_dwell_fired,GREEN,0.1106,,,False,False,False,2026-06-12T19:44:14.077181+00:00
VIN7_F_SM,P0,H2_dwell_fired,RED,0.8795,,,False,False,True,2026-06-12T19:44:14.077181+00:00
VIN7_F_SM,P0_OPS,silence_overlay,RED,0.8795,silence_overlay,,False,False,True,2026-06-12T19:44:14.077181+00:00
VIN8_F_SM,P0,H2_dwell_fired,AMBER,0.5435,,,False,True,True,2026-06-12T19:44:14.077181+00:00
VIN8_F_SM,P0_OPS,silence_overlay,AMBER,0.5435,silence_overlay,,False,True,True,2026-06-12T19:44:14.077181+00:00
