vin,priority,trigger,tier,prob,evidence_summary,window_statement,watchlist_badge,sma_dead_badge,silence_trigger_active,timestamp
VIN10_F_SM,P0,H2_dwell_fired,RED,1.0000,,,False,False,True,2026-06-12T19:44:14.063294+00:00
VIN10_F_SM,P0_OPS,silence_overlay,RED,1.0000,silence_overlay,,False,False,True,2026-06-12T19:44:14.063294+00:00
VIN10_NF_SM,P2,AMBER_tier,AMBER,0.4239,,,False,True,True,2026-06-12T19:44:14.063294+00:00
VIN10_NF_SM,P0_OPS,silence_overlay,AMBER,0.4239,silence_overlay,,False,True,True,2026-06-12T19:44:14.063294+00:00
VIN11_F_SM,P0,H2_dwell_fired,RED,0.6106,,,False,False,True,2026-06-12T19:44:14.063294+00:00
VIN11_F_SM,P0_OPS,silence_overlay,RED,0.6106,silence_overlay,,False,False,True,2026-06-12T19:44:14.063294+00:00
VIN12_F_SM,P1,RED_tier_no_channel_yet,RED,0.5965,,,False,False,True,2026-06-12T19:44:14.063294+00:00
VIN12_F_SM,P0_OPS,silence_overlay,RED,0.5965,silence_overlay,,False,False,True,2026-06-12T19:44:14.063294+00:00
VIN13_F_SM,P0,A2_battery_cascade_fired,RED,0.8764,,,False,False,True,2026-06-12T19:44:14.063294+00:00
VIN13_F_SM,P0_OPS,silence_overlay,RED,0.8764,silence_overlay,,False,False,True,2026-06-12T19:44:14.063294+00:00
VIN14_F_SM,P0,H2_dwell_fired,RED,0.9962,,,False,False,True,2026-06-12T19:44:14.063294+00:00
VIN14_F_SM,P0_OPS,silence_overlay,RED,0.9962,silence_overlay,,False,False,True,2026-06-12T19:44:14.063294+00:00
VIN18_NF_SM,P2,AMBER_tier,AMBER,0.4169,,,False,False,False,2026-06-12T19:44:14.063294+00:00
VIN19_NF_SM,P2,AMBER_tier,AMBER,0.3843,,,False,False,False,2026-06-12T19:44:14.063294+00:00
VIN2_NF_SM,P0,H2_dwell_fired,AMBER,0.4962,,,True,False,False,2026-06-12T19:44:14.063294+00:00
VIN3_F_SM,P0,H2_dwell_fired,RED,0.9561,,,False,False,False,2026-06-12T19:44:14.063294+00:00
VIN5_F_SM,P0,H2_dwell_fired,RED,0.9971,,,False,False,True,2026-06-12T19:44:14.063294+00:00
VIN5_F_SM,P0_OPS,silence_overlay,RED,0.9971,silence_overlay,,False,False,True,2026-06-12T19:44:14.063294+00:00
VIN5_NF_SM,P1,RED_tier_no_channel_yet,RED,0.7265,,,True,False,False,2026-06-12T19:44:14.063294+00:00
VIN6_F_SM,P0,H2_dwell_fired,RED,0.9998,,,False,False,True,2026-06-12T19:44:14.063294+00:00
VIN6_F_SM,P0_OPS,silence_overlay,RED,0.9998,silence_overlay,,False,False,True,2026-06-12T19:44:14.063294+00:00
VIN6_NF_SM,P0,H2_dwell_fired,GREEN,0.1913,,,False,False,False,2026-06-12T19:44:14.063294+00:00
VIN7_F_SM,P0,H2_dwell_fired,RED,0.9526,,,False,False,True,2026-06-12T19:44:14.063294+00:00
VIN7_F_SM,P0_OPS,silence_overlay,RED,0.9526,silence_overlay,,False,False,True,2026-06-12T19:44:14.063294+00:00
VIN8_F_SM,P0,H2_dwell_fired,GREEN,0.3459,,,False,True,True,2026-06-12T19:44:14.063294+00:00
