scenario,starter_part_INR,planned_labor_INR,planned_inspection_INR,battery_replace_2x_INR,a2_event_total_INR,breakdown_tow_INR,breakdown_emerg_labor_INR,breakdown_cargo_delay_INR,breakdown_total_INR,planned_repair_total_INR,source_notes
low,3000,1500,800,16000,16500,5000,4000,10000,19000,4500,starter_part SOURCED IndiaMart INR 3k-25k; labor ASSUMPTION INR 500-900/h; inspection ASSUMPTION 1-2h workshop; battery_replace ASSUMPTION INR 8k-20k/unit×2; breakdown ASSUMPTION India HD tow+emergency+cargo
base,12000,2500,1500,28000,28500,10000,6000,30000,46000,14500,starter_part SOURCED IndiaMart INR 3k-25k; labor ASSUMPTION INR 500-900/h; inspection ASSUMPTION 1-2h workshop; battery_replace ASSUMPTION INR 8k-20k/unit×2; breakdown ASSUMPTION India HD tow+emergency+cargo
high,25000,4500,3000,40000,40500,15000,10000,60000,85000,29500,starter_part SOURCED IndiaMart INR 3k-25k; labor ASSUMPTION INR 500-900/h; inspection ASSUMPTION 1-2h workshop; battery_replace ASSUMPTION INR 8k-20k/unit×2; breakdown ASSUMPTION India HD tow+emergency+cargo
