vin_label,failed,n_events_with_slope,n_baseline,n_final_90,bl_recovery_slope,f90_recovery_slope,recovery_slope_delta90,recovery_slope_delta180,slow_recovery_rate_90,ts_recovery_slope_trend,bl_dip,f90_dip,dip_delta90,re_bl,re_f90,recovery_efficiency_delta90
VIN10_F_SM,1,138,63,49,1.16291792329657,0.7693131651945728,-0.39360475810199724,-0.27326000982772847,0.5510204081632653,-0.0007928991223698303,4.805500083499485,3.756029377812925,-1.0494707056865602,0.5956449908538408,0.3767952139732788,-0.218849776880562
VIN11_F_SM,1,190,112,45,1.2287590447945183,1.7548760219856543,0.526116977191136,0.43917799410802516,0.13333333333333333,0.0010316230562835815,4.441945188923886,6.241109035633229,1.7991638467093427,0.571098815705411,0.5709638136642219,-0.00013500204118910286
VIN12_F_SM,1,349,185,63,1.1412027223260552,1.2817063513256257,0.14050362899957047,-0.007880558651165437,0.23809523809523808,0.0,4.006271939699341,4.018670654296875,0.012398714597533278,0.7006175274559907,1.119927522538785,0.4193099950827943
VIN13_F_SM,1,151,86,26,1.3497035566226456,1.613230734605056,0.26352717798241043,0.481004190029811,0.07692307692307693,0.0014635926128992896,5.263651772150918,6.687190959328099,1.4235391871771812,0.5532421509371176,0.6131027432985043,0.059860592361386744
VIN14_F_SM,1,637,474,104,0.9389725321643545,1.2841600679662926,0.34518753580193806,0.24046839491437932,0.3076923076923077,0.0005265956229351937,4.514348641420022,5.65576101871247,1.1414123772924478,0.32312478158784036,0.23657484530736358,-0.08654993628047677
VIN14_NF_SM,0,204,142,24,1.2734225774594876,1.562805603610145,0.28938302615065736,0.028568351064204967,0.08333333333333333,0.0003517771991920157,4.741919095537304,5.421982375058261,0.6800632795209571,0.5084741612084033,0.8114318404481012,0.30295767923969796
VIN15_NF_SM,0,932,634,166,1.1743281148655986,1.3195713096833135,0.14524319481771486,0.08243944132924219,0.19879518072289157,0.00006561661460488735,4.2295686149597165,4.453202074852543,0.22363345989282646,0.5725612803847574,0.7514107433760912,0.17884946299133375
VIN16_NF_SM,0,252,209,19,1.1427981286674258,1.3809123357137043,0.2381142070462785,0.1266127668945609,0.10526315789473684,0.0005594400259164664,4.708691400640151,5.769785336085728,1.0610939354455766,0.37574374705958286,0.5719881555943237,0.19624440853474084
VIN17_NF_SM,0,596,371,152,1.1366700270558707,1.2160548873115005,0.07938486025562974,0.0743063208320871,0.21052631578947367,0.00022222095065646725,3.7586473004169054,4.097753510651765,0.3391062102348599,0.5604459718201282,0.7161117377165402,0.155665765896412
VIN18_NF_SM,0,384,298,62,1.3910296121561694,1.6852662250559822,0.29423661289981284,0.22813908487572454,0.22580645161290322,0.000619540455579354,4.631650801860925,4.010884966169085,-0.6207658356918397,0.5743294958031919,0.4952517769451495,-0.07907771885804243
VIN19_NF_SM,0,201,140,32,1.1015893161864507,1.4089584698279698,0.30736915364151907,0.2504162176468703,0.21875,0.0003076915251903046,5.015408858274802,4.729996045430501,-0.2854128128443012,0.3279812472096384,0.24310413602768807,-0.08487711118195032
VIN1_F_SM,1,543,327,45,1.1762213743894052,0.988607372707791,-0.18761400168161424,0.028881415121045695,0.4666666666666667,-0.00021468771379546308,4.035987762369719,4.048041868209839,0.012054105840119789,0.5346475468965658,0.37548181327437313,-0.15916573362219266
VIN1_NF_SM,0,290,207,45,1.2409541582508954,1.5506483191030997,0.30969416085220436,0.32815637047288626,0.2,0.000476189965293521,4.5211129217791415,4.980149182406339,0.4590362606271974,0.4727512545475334,0.6120824208535323,0.13933116630599884
VIN2_F_SM,1,125,65,60,1.0381743631607447,1.5294467543740558,0.491272391213311,0.2358107477823892,0.13333333333333333,0.006804954041950468,3.934976443909762,5.512450107308322,1.5774736633985595,0.7852652798158298,0.32085723860701126,-0.46440804120881857
VIN2_NF_SM,0,274,178,52,1.3802788870261937,1.685642215182091,0.3053633281558972,0.25092661195586863,0.2692307692307692,0.0005206186746813591,4.976760022275083,5.394940912723541,0.4181808904484585,0.5388495072085986,0.5192728911430954,-0.019576616065503205
