vin_label,failed,n_sessions_total,n_sessions_baseline,n_sessions_final_90,n_sessions_final_180,bl_multi_attempt_rate,bl_mean_session_dip,bl_mean_session_dur_s,bl_mean_recovery_slope,f90_multi_attempt_rate,f90_mean_session_dip,f90_mean_session_dur_s,f90_mean_recovery_slope,f180_multi_attempt_rate,f180_mean_session_dip,multi_rate_delta90,dip_depth_delta90,session_dur_delta90,recovery_slope_delta90
VIN10_F_SM,true,126,62,40,64,0.016129032258064516,4.805500083499485,5.161290322580645,1.1737795050426194,0.1,4.17293625908929,7.125,0.8627417528934966,0.109375,4.328427331489429,0.08387096774193549,-0.6325638244101954,1.963709677419355,-0.31103775214912277
VIN11_F_SM,true,189,111,45,78,0.009009009009009009,4.50101054681314,5.414414414414415,1.2193122379300012,0.022222222222222223,6.209356931539682,5.111111111111111,1.7038504596912496,0.01282051282051282,5.72139421376315,0.013213213213213214,1.7083463847265428,-0.3033033033033039,0.4845382217612484
VIN12_F_SM,true,346,185,62,161,0.0,4.006271939699341,5.081081081081081,1.1412027223260552,0.016129032258064516,4.074942270914714,5.080645161290323,1.2611048406170264,0.012422360248447204,4.184111659206561,0.016129032258064516,0.06867033121537247,-0.0004359197907577439,0.1199021182909712
VIN13_F_SM,true,156,85,33,71,0.011764705882352941,5.264298900481193,5.352941176470588,1.3514647749358535,0.0,6.687190959328099,5.0,1.6132307346050558,0.014084507042253521,6.5646807028322804,-0.011764705882352941,1.422892058846906,-0.35294117647058787,0.26176595966920235
VIN14_F_SM,true,578,439,91,139,0.0888382687927107,4.731757432222366,7.380410022779043,0.9832863885456973,0.14285714285714285,6.095890057551396,12.241758241758241,1.3984443332721483,0.16546762589928057,5.898626267373025,0.05401887406443215,1.36413262532903,4.861348218979198,0.41515794472645107
VIN14_NF_SM,false,204,141,25,63,0.014184397163120567,4.769453693080592,5.070921985815603,1.276464326495216,0.0,5.421982375058261,5.0,1.5628056036101443,0.015873015873015872,4.94796776321699,-0.014184397163120567,0.6525286819776683,-0.07092198581560272,0.2863412771149283
VIN15_NF_SM,false,907,614,165,293,0.02768729641693811,4.3026501079775255,5.871335504885994,1.1997634237770194,0.006060606060606061,4.453202074852543,5.03030303030303,1.321502044754799,0.023890784982935155,4.525750532871535,-0.021626690356332048,0.15055196687501748,-0.8410324745829634,0.12173862097777954
VIN16_NF_SM,false,252,207,19,45,0.00966183574879227,4.717068677856808,5.763285024154589,1.1454592220020992,0.0,5.769785336085728,5.052631578947368,1.3809123357137043,0.0,5.1534048318862915,-0.00966183574879227,1.0527166582289196,-0.7106534452072211,0.23545311371160516
VIN17_NF_SM,false,593,369,151,224,0.005420054200542005,3.7640545221022617,5.097560975609756,1.1362632550710052,0.006622516556291391,4.101292482062952,5.039735099337748,1.2189426685274307,0.004464285714285714,4.0871526227139015,0.0012024623557493853,0.3372379599606905,-0.05782587627200808,0.08267941345642549
VIN18_NF_SM,false,377,291,62,86,0.020618556701030927,4.766291489676823,5.474226804123711,1.4066827481521804,0.0,4.010884966169085,5.016129032258065,1.6852662250559818,0.0,4.357796510060628,-0.020618556701030927,-0.7554065235077383,-0.4580977718656465,0.27858347690380136
VIN19_NF_SM,false,199,137,33,62,0.014598540145985401,5.046524255172066,5.255474452554744,1.1123783740394018,0.0,4.729996045430501,5.303030303030303,1.4089584698279698,0.0,5.221788597106934,-0.014598540145985401,-0.31652820974156537,0.04755585047555844,0.29658009578856803
VIN1_F_SM,true,517,317,37,200,0.03470031545741325,4.092856205834282,5.425867507886435,1.190170010230895,0.08108108108108109,4.459621367915984,8.64864864864865,1.1184860750480932,0.05,4.116617136988147,0.04638076562366784,0.36676516208170185,3.222781140762214,-0.0716839351828018
VIN1_NF_SM,false,288,206,44,82,0.0048543689320388345,4.510676807827419,5.072815533980583,1.2389199558763266,0.022727272727272728,5.060098707675934,5.113636363636363,1.5594812292041205,0.012195121951219513,5.020700856258995,0.017872903795233895,0.5494218998485145,0.0408208296557806,0.3205612733277938
VIN2_F_SM,true,127,60,67,127,0.05,4.144455432891846,5.833333333333333,1.0819972231653,0.029850746268656716,5.64766720363072,5.731343283582089,1.5560475483297105,0.03937007874015748,4.81610324534964,-0.020149253731343287,1.503211770738874,-0.10199004975124382,0.4740503251644106
VIN2_NF_SM,false,268,179,45,89,0.0335195530726257,5.067146791230648,5.379888268156424,1.397586524064981,0.044444444444444446,5.587292671203613,6.133333333333334,1.8380822092602733,0.02247191011235955,5.526424997503107,0.010924891371818748,0.520145879972965,0.7534450651769093,0.44049568519529236
VIN3_F_SM,true,262,44,96,218,0.0,5.653206848516697,5.0,1.3029545263810591,0.0,6.884333610534668,5.125,1.7312430295679297,0.0,6.348249035980065,0.0,1.231126762017971,0.125,0.4282885031868706
VIN3_NF_SM,false,241,169,38,72,0.0,4.266001968932667,5.059171597633136,1.1848638884414582,0.02631578947368421,4.058010065997088,5.157894736842105,1.264833413508901,0.013888888888888888,4.19188004732132,0.02631578947368421,-0.20799190293557857,0.09872313920896936,0.07996952506744281
VIN4_F_SM,true,241,97,144,241,0.0,4.234462395142973,5.0,1.1671945134798687,0.020833333333333332,4.493719939898727,5.381944444444445,0.9998542019614468,0.012448132780082987,4.38978335664079,0.020833333333333332,0.25925754475575413,0.38194444444444464,-0.16734031151842188
