vin_label,failed,week,fleet_rank_pct,metric
VIN16_NF_SM,false,2024-02-26T00:00:00.000000,0.11538461538461539,vsi_drive_std
VIN1_NF_SM,false,2024-02-26T00:00:00.000000,0.5769230769230769,vsi_drive_std
VIN20_NF_SM,false,2024-02-26T00:00:00.000000,0.7307692307692307,vsi_drive_std
VIN2_NF_SM,false,2024-02-26T00:00:00.000000,0.2692307692307692,vsi_drive_std
VIN6_NF_SM,false,2024-02-26T00:00:00.000000,0.038461538461538464,vsi_drive_std
VIN7_NF_SM,false,2024-02-26T00:00:00.000000,0.34615384615384615,vsi_drive_std
VIN9_F_SM,true,2024-02-26T00:00:00.000000,0.6538461538461539,vsi_drive_std
VIN9_NF_SM,false,2024-02-26T00:00:00.000000,0.19230769230769232,vsi_drive_std
VIN10_NF_SM,false,2024-03-04T00:00:00.000000,0.6818181818181818,vsi_drive_std
VIN11_NF_SM,false,2024-03-04T00:00:00.000000,0.8636363636363636,vsi_drive_std
VIN12_NF_SM,false,2024-03-04T00:00:00.000000,0.5909090909090909,vsi_drive_std
VIN13_NF_SM,false,2024-03-04T00:00:00.000000,0.9545454545454546,vsi_drive_std
VIN14_NF_SM,false,2024-03-04T00:00:00.000000,0.045454545454545456,vsi_drive_std
VIN15_NF_SM,false,2024-03-04T00:00:00.000000,0.3181818181818182,vsi_drive_std
VIN20_NF_SM,false,2024-03-04T00:00:00.000000,0.5,vsi_drive_std
VIN7_NF_SM,false,2024-03-04T00:00:00.000000,0.22727272727272727,vsi_drive_std
VIN8_NF_SM,false,2024-03-04T00:00:00.000000,0.7727272727272727,vsi_drive_std
VIN9_F_SM,true,2024-03-04T00:00:00.000000,0.4090909090909091,vsi_drive_std
VIN9_NF_SM,false,2024-03-04T00:00:00.000000,0.13636363636363635,vsi_drive_std
VIN10_NF_SM,false,2024-03-11T00:00:00.000000,0.55,vsi_drive_std
VIN11_NF_SM,false,2024-03-11T00:00:00.000000,0.75,vsi_drive_std
VIN12_NF_SM,false,2024-03-11T00:00:00.000000,0.85,vsi_drive_std
VIN13_NF_SM,false,2024-03-11T00:00:00.000000,0.95,vsi_drive_std
VIN14_NF_SM,false,2024-03-11T00:00:00.000000,0.05,vsi_drive_std
VIN15_NF_SM,false,2024-03-11T00:00:00.000000,0.15,vsi_drive_std
VIN20_NF_SM,false,2024-03-11T00:00:00.000000,0.35,vsi_drive_std
VIN6_NF_SM,false,2024-03-11T00:00:00.000000,0.45,vsi_drive_std
VIN7_NF_SM,false,2024-03-11T00:00:00.000000,0.25,vsi_drive_std
VIN9_F_SM,true,2024-03-11T00:00:00.000000,0.65,vsi_drive_std
VIN10_NF_SM,false,2024-03-18T00:00:00.000000,0.5909090909090909,vsi_drive_std
VIN11_NF_SM,false,2024-03-18T00:00:00.000000,0.6818181818181818,vsi_drive_std
VIN12_NF_SM,false,2024-03-18T00:00:00.000000,0.9545454545454546,vsi_drive_std
VIN13_NF_SM,false,2024-03-18T00:00:00.000000,0.8636363636363636,vsi_drive_std
VIN15_NF_SM,false,2024-03-18T00:00:00.000000,0.045454545454545456,vsi_drive_std
VIN20_NF_SM,false,2024-03-18T00:00:00.000000,0.4090909090909091,vsi_drive_std
VIN2_NF_SM,false,2024-03-18T00:00:00.000000,0.22727272727272727,vsi_drive_std
VIN3_NF_SM,false,2024-03-18T00:00:00.000000,0.7727272727272727,vsi_drive_std
VIN8_NF_SM,false,2024-03-18T00:00:00.000000,0.3181818181818182,vsi_drive_std
VIN9_F_SM,true,2024-03-18T00:00:00.000000,0.5,vsi_drive_std
VIN9_NF_SM,false,2024-03-18T00:00:00.000000,0.13636363636363635,vsi_drive_std
VIN10_NF_SM,false,2024-03-25T00:00:00.000000,0.6764705882352942,vsi_drive_std
VIN11_F_SM,true,2024-03-25T00:00:00.000000,0.4411764705882353,vsi_drive_std
VIN11_NF_SM,false,2024-03-25T00:00:00.000000,0.8529411764705882,vsi_drive_std
VIN12_NF_SM,false,2024-03-25T00:00:00.000000,0.7941176470588235,vsi_drive_std
VIN13_NF_SM,false,2024-03-25T00:00:00.000000,0.9705882352941176,vsi_drive_std
VIN14_NF_SM,false,2024-03-25T00:00:00.000000,0.38235294117647056,vsi_drive_std
VIN15_NF_SM,false,2024-03-25T00:00:00.000000,0.08823529411764706,vsi_drive_std
VIN18_NF_SM,false,2024-03-25T00:00:00.000000,0.7352941176470589,vsi_drive_std
VIN1_NF_SM,false,2024-03-25T00:00:00.000000,0.6176470588235294,vsi_drive_std
VIN20_NF_SM,false,2024-03-25T00:00:00.000000,0.5,vsi_drive_std
VIN2_NF_SM,false,2024-03-25T00:00:00.000000,0.029411764705882353,vsi_drive_std
VIN3_NF_SM,false,2024-03-25T00:00:00.000000,0.3235294117647059,vsi_drive_std
VIN4_NF_SM,false,2024-03-25T00:00:00.000000,0.9117647058823529,vsi_drive_std
VIN7_NF_SM,false,2024-03-25T00:00:00.000000,0.14705882352941177,vsi_drive_std
VIN8_NF_SM,false,2024-03-25T00:00:00.000000,0.20588235294117646,vsi_drive_std
VIN9_F_SM,true,2024-03-25T00:00:00.000000,0.5588235294117647,vsi_drive_std
VIN9_NF_SM,false,2024-03-25T00:00:00.000000,0.2647058823529412,vsi_drive_std
VIN10_NF_SM,false,2024-04-01T00:00:00.000000,0.5666666666666667,vsi_drive_std
VIN11_F_SM,true,2024-04-01T00:00:00.000000,0.8333333333333334,vsi_drive_std
VIN11_NF_SM,false,2024-04-01T00:00:00.000000,0.9,vsi_drive_std
VIN12_NF_SM,false,2024-04-01T00:00:00.000000,0.6333333333333333,vsi_drive_std
VIN13_NF_SM,false,2024-04-01T00:00:00.000000,0.9666666666666667,vsi_drive_std
VIN14_NF_SM,false,2024-04-01T00:00:00.000000,0.43333333333333335,vsi_drive_std
VIN15_NF_SM,false,2024-04-01T00:00:00.000000,0.16666666666666666,vsi_drive_std
VIN20_NF_SM,false,2024-04-01T00:00:00.000000,0.5,vsi_drive_std
VIN2_NF_SM,false,2024-04-01T00:00:00.000000,0.03333333333333333,vsi_drive_std
VIN3_NF_SM,false,2024-04-01T00:00:00.000000,0.1,vsi_drive_std
VIN7_NF_SM,false,2024-04-01T00:00:00.000000,0.3,vsi_drive_std
VIN8_F_SM,true,2024-04-01T00:00:00.000000,0.7,vsi_drive_std
VIN8_NF_SM,false,2024-04-01T00:00:00.000000,0.23333333333333334,vsi_drive_std
VIN9_F_SM,true,2024-04-01T00:00:00.000000,0.7666666666666667,vsi_drive_std
VIN9_NF_SM,false,2024-04-01T00:00:00.000000,0.36666666666666664,vsi_drive_std
VIN10_NF_SM,false,2024-04-08T00:00:00.000000,0.5588235294117647,vsi_drive_std
VIN11_F_SM,true,2024-04-08T00:00:00.000000,0.14705882352941177,vsi_drive_std
VIN11_NF_SM,false,2024-04-08T00:00:00.000000,0.7941176470588235,vsi_drive_std
VIN12_NF_SM,false,2024-04-08T00:00:00.000000,0.6764705882352942,vsi_drive_std
VIN13_NF_SM,false,2024-04-08T00:00:00.000000,0.9705882352941176,vsi_drive_std
VIN14_NF_SM,false,2024-04-08T00:00:00.000000,0.38235294117647056,vsi_drive_std
VIN15_NF_SM,false,2024-04-08T00:00:00.000000,0.2647058823529412,vsi_drive_std
VIN18_NF_SM,false,2024-04-08T00:00:00.000000,0.4411764705882353,vsi_drive_std
VIN20_NF_SM,false,2024-04-08T00:00:00.000000,0.5,vsi_drive_std
VIN2_NF_SM,false,2024-04-08T00:00:00.000000,0.029411764705882353,vsi_drive_std
VIN3_NF_SM,false,2024-04-08T00:00:00.000000,0.6176470588235294,vsi_drive_std
VIN5_NF_SM,false,2024-04-08T00:00:00.000000,0.9117647058823529,vsi_drive_std
VIN6_NF_SM,false,2024-04-08T00:00:00.000000,0.20588235294117646,vsi_drive_std
VIN7_NF_SM,false,2024-04-08T00:00:00.000000,0.08823529411764706,vsi_drive_std
VIN8_F_SM,true,2024-04-08T00:00:00.000000,0.8529411764705882,vsi_drive_std
VIN9_F_SM,true,2024-04-08T00:00:00.000000,0.7352941176470589,vsi_drive_std
VIN9_NF_SM,false,2024-04-08T00:00:00.000000,0.3235294117647059,vsi_drive_std
VIN10_NF_SM,false,2024-04-15T00:00:00.000000,0.59375,vsi_drive_std
VIN11_F_SM,true,2024-04-15T00:00:00.000000,0.09375,vsi_drive_std
VIN11_NF_SM,false,2024-04-15T00:00:00.000000,0.84375,vsi_drive_std
VIN12_NF_SM,false,2024-04-15T00:00:00.000000,0.78125,vsi_drive_std
VIN13_NF_SM,false,2024-04-15T00:00:00.000000,0.96875,vsi_drive_std
VIN14_NF_SM,false,2024-04-15T00:00:00.000000,0.34375,vsi_drive_std
VIN15_NF_SM,false,2024-04-15T00:00:00.000000,0.46875,vsi_drive_std
VIN18_NF_SM,false,2024-04-15T00:00:00.000000,0.28125,vsi_drive_std
VIN20_NF_SM,false,2024-04-15T00:00:00.000000,0.40625,vsi_drive_std
VIN2_NF_SM,false,2024-04-15T00:00:00.000000,0.90625,vsi_drive_std
VIN3_NF_SM,false,2024-04-15T00:00:00.000000,0.15625,vsi_drive_std
VIN6_NF_SM,false,2024-04-15T00:00:00.000000,0.71875,vsi_drive_std
VIN7_NF_SM,false,2024-04-15T00:00:00.000000,0.03125,vsi_drive_std
VIN8_F_SM,true,2024-04-15T00:00:00.000000,0.53125,vsi_drive_std
VIN9_F_SM,true,2024-04-15T00:00:00.000000,0.65625,vsi_drive_std
VIN9_NF_SM,false,2024-04-15T00:00:00.000000,0.21875,vsi_drive_std
VIN10_NF_SM,false,2024-04-22T00:00:00.000000,0.6052631578947368,vsi_drive_std
