vin_label,failed,n_weeks,ts_drive_mean_slope_per_week,drive_mean_delta_last90d,dur_kurtosis,dur_p95_over_p50,dur_p95,weekend_weekday_fail_ratio,silence_before_storm_days,rest_vsi_median_cv,n_crank_events
VIN10_F_SM,1,62,-0.003570104900159334,-0.4737954241164175,85.97515966414458,2.0,10.0,1.1511839708561018,0.0,0.04038135693753635,140
VIN10_NF_SM,0,61,-0.0032485186231983303,-0.06679842105278766,NaN,NaN,NaN,NaN,0.0,0.07912396817678395,0
VIN11_F_SM,1,65,-0.001970052719116211,-0.12284110142634219,121.54140589569161,1.0,5.0,0.7631578947368425,0.0,0.028552554705102946,192
VIN11_NF_SM,0,74,0.0009309783273813676,0.042641204442730896,NaN,NaN,NaN,NaN,0.0,0.011420108395253491,0
VIN12_F_SM,1,50,0.00014147758483886718,0.04636500035402946,243.81756956794783,1.0,5.0,1.3266666666666718,0.0,0.013415853435436467,349
VIN12_NF_SM,0,106,0.000531322551223467,0.05115536094730544,NaN,NaN,NaN,NaN,0.0,0.026140911001496007,0
VIN13_F_SM,1,67,0.010388374328613281,0.5136456041254576,58.910576887625304,1.0,5.0,NaN,0.0,0.067201360374125,158
VIN13_NF_SM,0,83,-0.0023454666137695313,-0.126678466796875,NaN,NaN,NaN,NaN,0.0,0.05417114712052285,0
VIN14_F_SM,1,69,0.008014573722050108,0.6505245586017985,20.70875119799385,4.0,20.0,0.5781766650921115,0.0,0.06493473112741922,669
VIN14_NF_SM,0,108,0.00020253030877364307,0.04993582968769772,NaN,1.0,5.0,1.1432926829268293,0.0,0.016217137294309226,207
VIN15_NF_SM,0,107,-0.0005266048290111401,0.04148303935648556,93.9324871087594,2.0,10.0,0.5013618041180959,0.0,0.01881419924324901,942
VIN16_NF_SM,0,93,0.0010714987913767497,0.1522177808712719,65.30267660596856,1.0,5.0,1.2477876106194692,0.0,0.022108453007612407,254
VIN17_NF_SM,0,68,0.0009413957595825195,0.12034050759427117,287.682657163939,1.0,5.0,0.8295739348370955,0.0,0.021139322866849216,597
VIN18_NF_SM,0,94,0.0002522555264559659,-0.008782774813262506,79.63643540374687,1.0,5.0,0.348148148148147,0.0,0.07526130482106738,385
VIN19_NF_SM,0,92,-0.0004839897155761719,0.00877011667836669,58.46522031725681,1.0,5.0,0.29268292682926883,0.0,0.022622925585817334,202
VIN1_F_SM,1,47,0.00016218073227826287,0.019132701400057073,67.68265757153222,1.0,5.0,0.6247297881539121,0.0,0.030847550371622127,546
VIN1_NF_SM,0,99,0.0027475790543989706,0.13581100855118322,279.3494127134438,1.0,5.0,1.4166666666666667,0.0,0.013654894214650947,290
VIN20_NF_SM,0,91,-0.0028874797205771167,-0.1411858990661088,NaN,NaN,NaN,NaN,0.0,0.025802017691998847,0
VIN2_F_SM,1,25,0.0019432612827845982,0.0179328796191065,19.765160286204086,2.0,10.0,0.9612403100775191,0.0,0.03440445562034539,136
VIN2_NF_SM,0,103,0.00010183122422960069,0.08163688692271975,43.35443652094202,1.0,5.0,0.8201058201058204,0.0,0.02413094646326537,281
VIN3_F_SM,1,37,0.024714945073713336,0.38413908330094415,116.4112750838697,1.0,5.0,NaN,0.0,0.044576593378168126,262
VIN3_NF_SM,0,101,0.000419174415477808,0.050519428877151995,157.16257556794343,1.0,5.0,0.27450980392156776,0.0,0.025113923716937037,242
VIN4_F_SM,1,22,-0.0048108534379438924,-0.059932121863731425,214.532560739311,1.0,5.0,0.0,0.0,0.006433256658613197,244
VIN4_NF_SM,0,90,0.000402886883106107,0.024822891482457976,52.818017930223434,2.0,10.0,2.49561403508772,0.0,0.017664074384767196,1025
VIN5_F_SM,1,33,0.005585734049479167,-0.21824915225689168,10.898595492037863,6.0,30.0,1.5102040816326534,0.0,0.06487116788993157,79
VIN5_NF_SM,0,96,0.0008001783690908752,0.04362933336237518,58.640889714804025,2.0,10.0,0.987312512841586,0.0,0.04621165478753417,761
VIN6_F_SM,1,58,0.010307462591873972,0.6188766642513421,157.20707399351554,1.0,5.0,1.7191011235955083,0.0,0.05598106529103586,191
VIN6_NF_SM,0,93,0.0017724244490913723,0.13644083952292263,32.94905031553452,3.0,15.0,1.0615650172612192,0.0,0.028189818246704204,685
VIN7_F_SM,1,79,0.00007419586181640625,0.11129997048900364,46.86170069570909,2.0,10.0,2.6153846153846168,0.0,0.013666483739732409,772
VIN7_NF_SM,0,104,-0.0001436915803462901,0.020900181361604098,573.2391888895147,1.0,5.0,1.354838709677423,0.0,0.019925234024957005,584
VIN8_F_SM,1,82,0.00023988887801555984,-0.016551537847682596,NaN,NaN,NaN,NaN,0.0,0.015982250527974827,0
VIN8_NF_SM,0,103,0.0009042369816391811,0.10027989640936141,55.31307901741067,2.0,10.0,1.7764441110277571,0.0,0.035172372234468285,511
VIN9_F_SM,1,74,-0.0010078066871279762,-0.05592388523481873,NaN,NaN,NaN,NaN,0.0,0.017283478086783502,0
VIN9_NF_SM,0,100,0.00022408270066784274,0.034121446911562714,32.24362479228494,1.0,5.0,0.31140350877193057,0.0,0.019090087997701555,128
