metric,auroc,cohens_d,n_failed,n_nf,mwu_pval,probe
ts_drive_mean_slope_per_week,0.55,0.69,14,20,0.6366,P6_serendipity
drive_mean_delta_last90d,0.457,0.293,14,20,0.6874,P6_serendipity
dur_kurtosis,0.476,-0.297,12,14,0.8571,P6_serendipity
dur_p95_over_p50,0.561,0.453,12,15,0.5498,P6_serendipity
weekend_weekday_fail_ratio,0.56,0.202,10,15,0.6373,P6_serendipity
silence_before_storm_days,0.5,,14,20,1.0,P6_serendipity
rest_vsi_median_cv,0.561,0.276,14,20,0.5637,P6_serendipity
