vin_label,failed,d_vsi_rest_median,z_vsi_rest_median,d_vsi_rest_p05,z_vsi_rest_p05,d_vsi_drive_mean,z_vsi_drive_mean,d_vsi_drive_std,z_vsi_drive_std,d_vsi_drive_p95,z_vsi_drive_p95,d_rpm_mean,z_rpm_mean,d_csp_mean,z_csp_mean,d_anr_pos_mean,z_anr_pos_mean,d_sma1_per_aday,z_sma1_per_aday,d_rows_per_aday,z_rows_per_aday
VIN5_NF_SM,false,-0.39999961853027344,-0.37631316634023493,-0.4050006866455078,-0.17229712870576122,0.03400230407714844,0.48908360588819233,0.003625936806201935,0.08365670916356097,0.0,0.0,-26.0853271484375,-0.13132377575136786,-2.6346969604492188,-0.37328194245833485,-61.35308837890625,-0.5652447063960447,-0.2857142857142856,-0.13738271772718,-818.4285714285706,-0.2757642043633241
VIN2_F_SM,true,-1.5,-2.3116574358022817,-1.5999984741210938,-2.045276982115621,0.019428253173828125,0.2858798623452398,0.01723005622625351,0.714180460365844,0.0,0.0,17.25732421875,0.12118166524285011,0.13907623291015625,0.017780367977731866,23.582122802734375,0.2118827686884496,0.0714285714285714,0.12751778200055292,-187.28571428571377,-0.09051357400643868
VIN7_NF_SM,false,-0.2050018310546875,-0.4337196826018742,-0.10000038146972656,-0.14091763339264649,0.023601531982421875,0.30261160206147886,0.008338339626789093,0.05941176064633707,0.0,0.0,23.083740234375,0.22343293062021552,3.2312774658203125,0.4955162103709257,127.21453857421875,1.183482104960723,-0.40476190476190477,-0.5836800151924518,-43.714285714286234,-0.017075543205957767
VIN3_NF_SM,false,-0.39999961853027344,-0.6165710923040243,-0.10499954223632812,-0.09775665784104288,0.051990509033203125,1.1161124876261597,-0.0041742026805877686,-0.11293021673251971,0.0,0.0,148.662353515625,1.1222382434785052,1.5785236358642578,0.2072287075013897,-4.847198486328125,-0.039766271475474686,0.0,0.0,35.619047619047706,0.017799458203625076
VIN12_F_SM,true,0.1999988555908203,0.5757531976431934,0.09499931335449219,0.2364727193255896,0.11822509765625,2.3229300775224777,0.2958144396543503,4.003745840685904,0.6949996948242188,4.12173442749859,-23.439208984375,-0.37280166049673535,7.419536590576172,3.6279092540982707,39.919647216796875,1.4562996181712229,-0.3571428571428571,-0.5694803203423372,1062.857142857144,0.6926615473967465
VIN14_NF_SM,false,-0.1999988555908203,-0.48356508017555155,-0.18999862670898438,-0.11773024991780502,0.070648193359375,0.8248622966309639,0.006909571588039398,0.03546509564619885,0.18999862670898438,0.3870197596133066,69.713623046875,0.5013354308119551,0.9002799987792969,0.12551747044028017,-11.8681640625,-0.09766840344422163,-0.07142857142857142,-0.04122449718155358,-793.2142857142858,-0.47355884836519996
VIN20_NF_SM,false,0.10000038146972656,0.15937560232703304,0.0,0.0,-0.13132858276367188,-0.6354102695910029,0.04335987567901611,0.11436765499126904,-0.20000076293945312,-1.0657782470870372,-49.21337890625,-0.6173958827551044,-3.3318634033203125,-0.473703653059264,-77.6298828125,-0.8142516835431773,-0.5142857142857142,-0.09241163723423029,-2301.642857142857,-0.851759734448136
VIN11_NF_SM,false,0.0,0.0,0.0,0.0,0.045444488525390625,0.9375329126458032,-0.009187266230583191,-0.10636224598892657,0.0,0.0,-102.52020263671875,-1.063522240607763,-1.7143402099609375,-0.35755759861314396,-0.29083251953125,-0.006046414319279544,1.928571428571428,0.13005489313612473,1614.625,0.5207521510826602
VIN2_NF_SM,false,-0.30500030517578125,-0.5817479350277547,-0.21000099182128906,-0.23215779259164276,0.05815887451171875,0.9317047616421738,0.0467868372797966,1.219948560927947,0.18999862670898438,2.5401212448167745,72.09320068359375,0.6852876585127486,0.8168830871582031,0.1206082906548231,0.270477294921875,0.0024981460503614742,-0.02380952380952378,-0.057992920931628486,-589.2142857142862,-0.28651189209697686
VIN18_NF_SM,false,-0.40000152587890625,-0.20273695762847757,-0.2999992370605469,-0.13680009958681258,0.0065460205078125,0.05271075916423228,-0.0032563507556915283,-0.0216925079797121,0.0,0.0,25.907958984375,0.1766259661924196,4.136621475219727,0.5271113973101115,-3.56298828125,-0.026821381846083514,0.11904761904761907,0.15192067974539425,1638.9761904761908,0.47694620760664275
