vin_label,failed,d_dip,d_recov,d_minvsi,d_success,d_retry,n_last,n_base
VIN1_NF_SM,false,0.3887491226196289,0.15999984741210938,-0.6100006103515625,0.007843137254901933,-0.01568627450980392,35,255
VIN9_F_SM,true,0.3533344268798828,-0.07999992370605469,-0.1999988555908203,0.04459561602418738,-0.015109637000184264,81,603
VIN7_NF_SM,false,0.5164718627929688,0.23999958038330083,-0.9999990463256836,0.0035460992907800915,-0.01950354609929078,20,564
VIN1_F_SM,true,-0.5252552032470703,0.0379999160766602,-0.7999992370605469,-0.2806603773584906,0.10070754716981133,16,530
VIN17_NF_SM,false,0.21088314056396484,0.16000022888183607,-0.20000076293945312,0.010121457489878583,-0.006485594119727999,103,494
VIN12_F_SM,true,0.16176414489746094,0.23899993896484384,-0.7049999237060547,-0.03233979135618481,0.012891207153502235,44,305
VIN20_NF_SM,false,0.3450031280517578,-0.219999885559082,0.6999998092651367,0.09160849473994692,-0.044606999426276536,28,1494
VIN6_F_SM,true,4.639410018920898,0.6000000000000001,-3.200000762939453,-0.043439716312056786,0.02127659574468085,47,144
VIN10_NF_SM,false,2.8666648864746094,0.40000000000000013,-2.200000762939453,0.16354875283446713,-0.06142506142506143,36,407
VIN11_F_SM,true,2.566666603088379,0.31600008010864267,-1.0,-0.02103786816269293,-0.0050090162292125845,31,161
VIN5_NF_SM,false,1.0941181182861328,0.17999992370605478,-0.3899993896484375,0.091377228496342,-0.07617728531855955,39,722
VIN4_F_SM,true,0.19411754608154297,-0.12000007629394527,0.40000152587890625,0.04861111111111116,-0.010833333333333332,100,144
VIN2_F_SM,true,2.2560997009277344,0.8010000228881835,-2.8100013732910156,-0.1814048647419868,-0.002045919527165263,53,83
VIN14_NF_SM,false,1.0042505264282227,0.4389999389648438,-1.5999984741210938,-0.1213517665130569,-0.026881720430107527,21,186
VIN11_NF_SM,false,0.14999961853027344,3.8146972647368216e-7,0.0,0.36435475090937275,-0.0790094279297944,306,3833
VIN16_NF_SM,false,1.5219612121582031,0.281000328063965,-0.20000076293945312,0.024590163934426257,-0.028688524590163935,10,244
VIN3_F_SM,true,1.2899799346923828,0.24000053405761723,-0.7899990081787109,0.01005025125628145,-0.01507537688442211,63,199
VIN2_NF_SM,false,0.8858757019042969,0.1350000381469727,-1.1000003814697266,-0.1999285544177185,0.1694451059776137,34,247
VIN10_F_SM,true,-0.9833126068115234,-0.4020000457763673,-0.39999961853027344,-0.3390528483184626,0.20132692747655,47,93
VIN6_NF_SM,false,1.2481613159179688,0.4400001525878907,-1.7999992370605469,0.13681592039800994,-0.06040187412452302,67,618
VIN19_NF_SM,false,-0.022058486938476562,-0.03999977111816411,0.3100004196166992,-0.02252747252747256,-0.03296703296703297,20,182
VIN15_NF_SM,false,0.08733558654785156,0.13866688410441075,0.0,0.10148601398601409,-0.05152972027972028,110,832
VIN13_NF_SM,false,0.16904544830322266,0.08000011444091815,-0.6000003814697266,0.10526315789473684,-0.001215277777777777,45,384
VIN8_NF_SM,false,0.6864728927612305,0.07899990081787123,-1.7049999237060547,-0.2590825688073395,0.2101834862385321,75,436
VIN4_NF_SM,false,1.0117645263671875,0.2633332888285318,-0.7899990081787109,0.019984486927955403,0.0044257882009399035,217,808
VIN8_F_SM,true,0.8057136535644531,0.20000038146972665,-1.1999988555908203,0.0801303594060413,-0.01538563646732611,241,1688
VIN3_NF_SM,false,-0.5008811950683594,0.19999999999999996,-0.7999992370605469,0.027649769585253448,-0.009216589861751152,25,217
VIN7_F_SM,true,0.03874969482421875,0.08199996948242205,-0.18999862670898438,0.023302207130730057,0.009337860780984718,152,620
VIN12_NF_SM,false,0.7000007629394531,0.12000007629394527,-0.39999961853027344,0.061810154525386296,-0.039735099337748346,27,453
VIN9_NF_SM,false,-3.3208093643188477,-0.259999656677246,2.789999008178711,0.042735042735042694,0.05672105672105672,11,117
VIN13_F_SM,true,0.9405875205993652,0.06000022888183598,-0.10000038146972656,-0.04543733434305197,-0.014388489208633094,19,139
VIN14_F_SM,true,2.4029417037963867,0.7619998931884765,-2.3999996185302734,0.07865659777424483,-0.13326709062003178,40,629
VIN18_NF_SM,false,-0.7434539794921875,0.040999984741211026,0.3899993896484375,0.03188405797101446,-0.03188405797101449,40,345
