vin_label,rows,vsi_null_rate,sma_null_rate,vsi_null_rate_engon,sma_null_rate_engon,vsi_null_rate_engoff,sma_null_rate_engoff,vsi_needs_rescale,sma_null_rate_month_min,sma_null_rate_month_max,vsi_null_rate_month_min,vsi_null_rate_month_max
VIN10_F_SM,1837988,0.02417915677360244,0.024175348261250888,0.0,0.0,0.5386983769106756,0.5386135253403154,0,0.01271619353426257,0.048674639378621626,0.01271619353426257,0.04868696831463445
VIN10_NF_SM,3169970,0.7855449736117377,0.9991933677605782,0.7791007223119245,0.9994617861593508,0.9358948774235144,0.9929309365549637,0,0.993127147766323,0.9998263817499806,0.7270627414263849,0.8565292096219931
VIN11_F_SM,2702394,0.018889547564122772,0.01888547709919427,0.0,0.0,0.4744541829706946,0.4743519439358311,0,0.010614263752422966,0.11481870730425643,0.010614263752422966,0.11481870730425643
VIN11_NF_SM,4682465,0.8159394677803251,0.9973968839062332,0.7900616755264942,0.9984991700097202,0.9184397801808941,0.9930307977712962,0,0.9899868278074496,1.0,0.7542126883309699,1.0
VIN12_F_SM,2490690,0.015047235906515865,0.015305798794711506,1.7375553031273824e-6,0.0,0.1986903846663662,0.20212613663476578,0,0.01054014849014225,0.02427375631914426,0.010454361118043425,0.02213990035900066
VIN12_NF_SM,3192824,0.8085719726486646,0.9986153323828686,0.7940390160555791,0.998890407726797,0.9497126484984919,0.9959438649699565,0,0.967741935483871,1.0,0.7750847341252255,1.0
VIN13_F_SM,1629920,0.03853992834004123,0.03856631000294493,0.000026725366870844125,0.0,0.6553023581114231,0.6561792122926605,0,0.02100986300542239,1.0,0.02100986300542239,1.0
VIN13_NF_SM,3869661,0.17806727772794567,0.998969677188777,0.1606611345668478,0.99921015317953,0.9380027467137532,0.9884707267250632,0,0.9858012170385395,0.9998880646813934,0.14119880265751625,0.34279918864097364
VIN14_F_SM,2883142,0.0239655209490202,0.024018241210457203,6.527999860736003e-6,0.0,0.5491577164934931,0.5505091860178553,0,0.013564062526810687,0.22008547008547008,0.013572641946498739,0.22008547008547008
VIN14_NF_SM,3424679,0.02195972235646027,0.023709959385974567,3.164582999733542e-7,0.0,0.28410494701649003,0.30675280028711205,0,0.013616194702062425,0.24831867563372995,0.013616194702062425,0.24831867563372995
VIN15_NF_SM,3195196,0.03229911404496,0.0325933057001824,1.1488860592250764e-6,0.0,0.17671939188761085,0.17833419810230303,0,0.014960950828373204,0.38328173374613,0.014960950828373204,0.38328173374613
VIN16_NF_SM,5317190,0.00877230266362496,0.008690868673114934,0.00006378593209939352,0.0,0.36193907375857703,0.36114193719814314,0,0.004977343019492196,1.0,0.004977343019492196,1.0
VIN17_NF_SM,3374666,0.015488347587583483,0.015571318761619669,0.0,0.0,0.14523124800288972,0.1460092526987038,0,0.00949218146972555,0.6790123456790124,0.00949218146972555,0.6790123456790124
VIN18_NF_SM,4643257,0.07460711306740075,0.07459612939796355,0.0,0.0,0.8569767585686544,0.8568505943325047,0,0.008933709805049997,0.998162890385793,0.008938205884468742,0.998162890385793
VIN19_NF_SM,3602136,0.021957805035678832,0.021956416970375356,2.8547293873550903e-7,0.0,0.7975034534216603,0.7974631214898615,0,0.015198729568982307,0.3186372745490982,0.015198729568982307,0.3186372745490982
VIN1_F_SM,1303473,0.035306446700468674,0.03530414515682335,0.0,0.0,0.287985832556335,0.2879670594419379,0,0.020775386925584016,0.18932127802553608,0.020775386925584016,0.18932127802553608
VIN1_NF_SM,4504567,0.021762580065964165,0.021764578038244296,0.00001680315586285126,0.0,0.6116831621343157,0.6121951981017203,0,0.007870344402064168,1.0,0.007870344402064168,1.0
VIN20_NF_SM,4374109,0.7426470167981639,0.9980898967081068,0.729175548404131,0.9985989429435143,0.9288924438901053,0.9910522427011381,7,0.991304347826087,0.9997204062938014,0.48529373894041344,0.9616021185038067
VIN2_F_SM,843430,0.020216259796307933,0.03312782329298223,0.0,0.0,0.3327219154291959,0.5452221593459129,0,0.013653274471758904,0.0979381443298969,0.014035993378072877,0.0979381443298969
VIN2_NF_SM,3344219,0.021599362960380286,0.02470502081352926,0.0,0.0,0.5618184646496072,0.6425993622151357,0,0.012415667861114544,0.1938679245283019,0.012415667861114544,0.1938679245283019
VIN3_F_SM,1165335,0.04166870470723011,0.041657549116777576,3.019797794339691e-6,0.0,0.28247552227865336,0.28241734587616574,0,0.02930493191691308,0.246180648619673,0.02930493191691308,0.246180648619673
VIN3_NF_SM,3272661,0.021049537364242737,0.021042509444149576,0.0,0.0,0.32173064259260126,0.3216232246855691,0,0.013689771016831779,0.4474187380497132,0.013695494165250188,0.4474187380497132
VIN4_F_SM,1227142,0.011772883659755758,0.011772883659755758,0.0,0.0,0.13219079687800236,0.13219079687800236,0,0.009043871126824981,0.020679413914698568,0.009043871126824981,0.020679413914698568
VIN4_NF_SM,3771217,0.0233860846511882,0.024117148390029,0.0,0.0,0.25181737715215713,0.2596893470005425,0,0.011601976311728115,0.23809523809523808,0.01154457722005171,0.23809523809523808
VIN5_F_SM,1275868,0.019828069988431406,0.019824934867870344,0.0,0.0,0.5986558758104974,0.5985612191774339,0,0.013599904882978625,0.6582278481012658,0.013599904882978625,0.6582278481012658
VIN5_NF_SM,4255968,0.030288291641290536,0.030232370168196753,1.0045599487473514e-6,0.0,0.47023073415412675,0.4693771089831281,0,0.007640220801749225,0.20005181730698054,0.007643380529127947,0.2611222148197498
VIN6_F_SM,2219533,0.02163022581777338,0.021063439921821393,0.000010481585997363405,0.0,0.3978559702853732,0.3876084036678992,0,0.010877588454993481,0.07109622184999069,0.010877588454993481,0.07112280981627715
