vin_label,engine_hours_per_day,km_per_day,trips_per_day,mean_trip_duration_min,mean_trip_km,short_trip_share,idle_share,stop_density,overnight_off_share,soak_before_crank_median,soak_before_crank_p90,overnight_start_share,hot_restart_share,starts_per_active_day,starts_per_100km,crank_success_ratio,crank_dur_p95,cranks_per_trip,weekly_crank_rate,pre_crank_vsi_median,hard_start_goodv_rate,lowv_crank_share,dip_resid_last90_median,dropout_hours_per_week,heartbeat_coverage_share,vsi_valid_share,monsoon_start_share,dip_depth_last90_level,lowv_consecutive_events_max,consecutive_high_crank_days_max90,weekly_engine_hours_trend,rest_vsi_trend_12w,voltage_stress_index
VIN10_F_SM,5.712981436965811,118.9762160524078,14.475961538461538,23.495054245544118,8.162738909987361,0.4121554300896712,0.3338601908117817,2.533871621706123,0.0,0.008055555555555555,0.1516666666666667,0.0,0.5384615384615384,0.33653846153846156,0.2828619641006399,0.7571428571428571,10.0,0.023248090335436733,2.306451612903226,27.63949966430664,0.0,0.6086956521739131,0.5534875984585028,51.66331541218638,0.0,0.8785714285714286,0.42857142857142855,3.756029377812925,8.0,2.0,1.8264583333333335,0.0,-0.3821408912433561
VIN10_NF_SM,9.815200580628135,336.54432350396957,22.71496437054632,25.893089685942346,14.760594599941593,0.6697689009724982,0.1627971463677065,2.3142638995455607,0.0,0.004166666666666667,0.22833333333333333,0.0,0.6407982261640798,1.0522565320665083,0.3126650662565987,0.822429906542056,5.0,0.04632437519606818,7.39344262295082,27.760000228881836,0.0,0.42857142857142855,1.1322505706777966,2.6968897996357013,0.0,0.24604966139954854,0.16930022573363432,6.063562319828914,4.0,0.0,-1.2993204365079358,-0.034285749707903185,1.3002645561263884
VIN11_F_SM,7.917384519350812,257.17287006814377,16.95505617977528,27.60041528606141,15.007003407007986,0.48098078197481775,0.2196892850244212,2.1414971242505114,0.0,0.007222222222222222,0.1118611111111112,0.0,0.8031088082901554,0.4314606741573034,0.16777068049323324,0.953125,5.0,0.025447316103379723,2.9692307692307693,25.416248321533203,0.0,0.5185185185185185,0.2814684735306088,60.943294871794876,0.0,0.6302083333333334,0.4895833333333333,6.241109035633229,8.0,2.0,-0.4160416666666673,0.0,1.39972518046415
VIN11_NF_SM,10.231326530612245,232.74927444508558,51.3795918367347,11.974761677788372,4.511134413120903,0.784556720686368,0.2132947253056561,5.0217918158516754,0.0,0.004166666666666667,0.14944444444444444,0.0,0.7998077385243931,8.446938775510205,3.629200905415995,0.6607324516785351,5.0,0.16440260565618048,56.229729729729726,27.74166774749756,0.0058823529411764705,0.23529411764705882,-0.18703968744735988,14.202454954954957,0.0,0.41362647982604495,0.10099057743416284,4.374132132824556,8.0,2.0,-0.0671516754850088,0.0,-1.8271413457292585
VIN12_F_SM,9.013618378552971,262.86176998435013,37.47674418604651,14.427634708863378,6.990561630494389,0.7191281414830903,0.09147853991031549,4.157791312223599,0.0,0.016805555555555556,0.15875,0.0,0.7685714285714286,1.0145348837209303,0.3859575638486084,0.9828080229226361,5.0,0.027071051815079118,7.0,25.392499923706055,0.03636363636363636,0.7818181818181819,0.24086812111651668,1.6224666666666667,0.0,0.8080229226361032,0.3667621776504298,4.018670654296875,13.0,2.0,0.8153819444444441,0.0,0.7888355218981399
VIN12_NF_SM,5.480399953895805,169.9115810164614,15.432918395573997,21.111266953456415,10.94080278409864,0.6886538806237678,0.15760006477671487,2.8160204593468277,0.0,0.011111111111111112,0.13116666666666668,0.0,0.7593360995850622,0.6639004149377593,0.3907328805759504,0.9416666666666667,5.0,0.04301846208998028,4.547169811320755,27.44999885559082,0.0,0.35294117647058826,-0.176233684145906,1.400864779874214,0.0,0.26666666666666666,0.41458333333333336,5.019431829452515,15.0,2.0,-2.0259424603174594,0.03541652361551921,-1.1699717958843623
VIN13_F_SM,4.342746376811594,138.11985781699414,13.547826086956523,19.23122058194266,10.068863617812113,0.646181001283697,0.18751157602465546,3.119644784990464,0.0,0.005555555555555556,0.11991666666666688,0.0,0.5617283950617284,0.34347826086956523,0.2486813020939151,0.9873417721518988,5.0,0.025353016688061617,2.417910447761194,28.15999984741211,0.0,0.391304347826087,1.1741826395542923,0.26657131011608626,0.0,0.7531645569620253,0.34810126582278483,6.5152375433180065,5.0,2.0,-1.2497986111111117,0.11000006993611654,-0.787674563860271
VIN13_NF_SM,9.712744910941476,298.32620937223476,25.11832061068702,23.032938256597273,11.815960899817554,0.613356632730588,0.13032327805698488,2.586119664523574,0.0,0.002777777777777778,0.0166111111111111,0.0,0.6589327146171694,0.8187022900763359,0.27443190184299393,0.9069767441860465,5.0,0.03259383072481386,5.192771084337349,28.244998931884766,0.0,0.0,,20.67458500669344,0.0,0.28438228438228436,0.1958041958041958,6.511086830726037,7.0,2.0,-6.136550925925926,-0.0816668192545573,0.15795873944971417
VIN14_F_SM,8.134556892778994,186.1653994917156,29.90153172866521,16.283151603854126,6.166403910356315,0.6552506403219905,0.16744470753994642,3.675864847070976,0.0,0.006388888888888889,0.060944444444444454,0.0,0.6401098901098901,1.463894967177243,0.7863410554131389,0.7010463378176383,20.0,0.04895718990120746,10.55072463768116,25.897435188293457,0.010416666666666666,0.6770833333333334,1.1157411387323357,2.140028180354267,0.0,0.8639760837070254,0.5037369207772795,5.65576101871247,21.0,2.0,-2.8022685185185185,0.045237972622825987,0.997847079941242
VIN14_NF_SM,5.800142172770823,159.94904878515538,18.07093184979138,19.209850175735653,8.806602766436084,0.6468867851920265,0.17399052080424765,3.115601533808368,0.0,0.001388888888888889,0.18708333333333382,0.0,0.7804878048780488,0.28789986091794156,0.17999473151268974,0.966183574879227,5.0,0.01593165550681136,3.037037037037037,25.855552673339844,0.0,0.5652173913043478,0.9348826653613322,11.327610596707817,0.0,0.8164251207729468,0.38164251207729466,5.421982375058261,12.0,2.0,1.7846527777777794,0.0,0.9037134697695013
