vin_label,dropout_share_delta90
VIN10_F_SM,-0.010153552116203717
VIN10_NF_SM,0.10081022208273166
VIN11_F_SM,-0.7073731323040755
VIN11_NF_SM,-0.12757733440863644
VIN12_F_SM,-0.0011264352362759763
VIN12_NF_SM,0.1068175692867268
VIN13_F_SM,0.0
VIN13_NF_SM,-0.3412053276513869
VIN14_F_SM,-0.10041248349060924
VIN14_NF_SM,0.017900697787933864
VIN15_NF_SM,-0.04180791315701837
VIN16_NF_SM,0.07584323302213668
VIN17_NF_SM,-0.028266801249683338
VIN18_NF_SM,0.05389139670745896
VIN19_NF_SM,0.03919706335777103
VIN1_F_SM,0.6780222026237823
VIN1_NF_SM,-0.0323067354100975
VIN20_NF_SM,0.039092456201654
VIN2_F_SM,0.16843781296490676
VIN2_NF_SM,0.07231550578506324
VIN3_F_SM,0.0
VIN3_NF_SM,0.0
VIN4_F_SM,0.0076321729685010385
VIN4_NF_SM,0.01770018353028499
VIN5_F_SM,-0.06272668520030024
VIN5_NF_SM,-0.03657120026258536
VIN6_F_SM,0.04738517604312424
VIN6_NF_SM,0.05097700157246775
VIN7_F_SM,-0.054121790155270896
VIN7_NF_SM,0.04097295421155567
VIN8_F_SM,0.11361635455067084
VIN8_NF_SM,0.014911672546270589
VIN9_F_SM,0.04896117311155467
VIN9_NF_SM,-0.24235379441630328
