vin,priority,trigger,tier,prob,evidence_summary,window_statement,watchlist_badge,sma_dead_badge,silence_trigger_active,timestamp
VIN10_F_SM,P0,H2_dwell_fired,RED,1.0000,,,False,False,True,2026-06-12T19:44:14.067445+00:00
VIN10_F_SM,P0_OPS,silence_overlay,RED,1.0000,silence_overlay,,False,False,True,2026-06-12T19:44:14.067445+00:00
VIN10_NF_SM,P2,AMBER_tier,AMBER,0.5004,,,False,True,True,2026-06-12T19:44:14.067445+00:00
VIN10_NF_SM,P0_OPS,silence_overlay,AMBER,0.5004,silence_overlay,,False,True,True,2026-06-12T19:44:14.067445+00:00
VIN11_F_SM,P0,H2_dwell_fired,AMBER,0.4761,,,False,False,True,2026-06-12T19:44:14.067445+00:00
VIN11_F_SM,P0_OPS,silence_overlay,AMBER,0.4761,silence_overlay,,False,False,True,2026-06-12T19:44:14.067445+00:00
VIN12_F_SM,P1,RED_tier_no_channel_yet,RED,0.8217,,,False,False,True,2026-06-12T19:44:14.067445+00:00
VIN12_F_SM,P0_OPS,silence_overlay,RED,0.8217,silence_overlay,,False,False,True,2026-06-12T19:44:14.067445+00:00
VIN13_F_SM,P0,A2_battery_cascade_fired,RED,0.8893,,,False,False,True,2026-06-12T19:44:14.067445+00:00
VIN13_F_SM,P0_OPS,silence_overlay,RED,0.8893,silence_overlay,,False,False,True,2026-06-12T19:44:14.067445+00:00
VIN14_F_SM,P0,H2_dwell_fired,RED,0.9867,,,False,False,True,2026-06-12T19:44:14.067445+00:00
VIN14_F_SM,P0_OPS,silence_overlay,RED,0.9867,silence_overlay,,False,False,True,2026-06-12T19:44:14.067445+00:00
VIN2_F_SM,P1,RED_tier_no_channel_yet,RED,0.5547,,,False,False,True,2026-06-12T19:44:14.067445+00:00
VIN2_F_SM,P0_OPS,silence_overlay,RED,0.5547,silence_overlay,,False,False,True,2026-06-12T19:44:14.067445+00:00
VIN2_NF_SM,P0,H2_dwell_fired,GREEN,0.1935,,,True,False,False,2026-06-12T19:44:14.067445+00:00
VIN3_F_SM,P0,H2_dwell_fired,RED,0.8136,,,False,False,False,2026-06-12T19:44:14.067445+00:00
VIN5_F_SM,P0,H2_dwell_fired,RED,0.9362,,,False,False,True,2026-06-12T19:44:14.067445+00:00
VIN5_F_SM,P0_OPS,silence_overlay,RED,0.9362,silence_overlay,,False,False,True,2026-06-12T19:44:14.067445+00:00
VIN5_NF_SM,P0,H2_dwell_fired,RED,0.9408,,,True,False,False,2026-06-12T19:44:14.067445+00:00
VIN6_F_SM,P0,H2_dwell_fired,RED,0.9999,,,False,False,True,2026-06-12T19:44:14.067445+00:00
VIN6_F_SM,P0_OPS,silence_overlay,RED,0.9999,silence_overlay,,False,False,True,2026-06-12T19:44:14.067445+00:00
VIN6_NF_SM,P0,H2_dwell_fired,GREEN,0.2518,,,False,False,False,2026-06-12T19:44:14.067445+00:00
VIN7_F_SM,P0,H2_dwell_fired,RED,0.7700,,,False,False,True,2026-06-12T19:44:14.067445+00:00
VIN7_F_SM,P0_OPS,silence_overlay,RED,0.7700,silence_overlay,,False,False,True,2026-06-12T19:44:14.067445+00:00
VIN8_F_SM,P0,H2_dwell_fired,AMBER,0.3961,,,False,True,True,2026-06-12T19:44:14.067445+00:00
VIN8_F_SM,P0_OPS,silence_overlay,AMBER,0.3961,silence_overlay,,False,True,True,2026-06-12T19:44:14.067445+00:00
