vin,priority,trigger,tier,prob,evidence_summary,window_statement,watchlist_badge,sma_dead_badge,silence_trigger_active,timestamp
VIN10_F_SM,P1,RED_tier_no_channel_yet,RED,0.9995,,,False,False,True,2026-06-12T19:44:14.015812+00:00
VIN10_F_SM,P0_OPS,silence_overlay,RED,0.9995,silence_overlay,,False,False,True,2026-06-12T19:44:14.015812+00:00
VIN10_NF_SM,P2,AMBER_tier,AMBER,0.4943,,,False,True,True,2026-06-12T19:44:14.015812+00:00
VIN10_NF_SM,P0_OPS,silence_overlay,AMBER,0.4943,silence_overlay,,False,True,True,2026-06-12T19:44:14.015812+00:00
VIN11_F_SM,P0,H2_dwell_fired,RED,0.9047,,,False,False,True,2026-06-12T19:44:14.015812+00:00
VIN11_F_SM,P0_OPS,silence_overlay,RED,0.9047,silence_overlay,,False,False,True,2026-06-12T19:44:14.015812+00:00
VIN12_F_SM,P2,AMBER_tier,AMBER,0.5110,,,False,False,True,2026-06-12T19:44:14.015812+00:00
VIN12_F_SM,P0_OPS,silence_overlay,AMBER,0.5110,silence_overlay,,False,False,True,2026-06-12T19:44:14.015812+00:00
VIN13_F_SM,P0,A2_battery_cascade_fired,AMBER,0.5225,,,False,False,True,2026-06-12T19:44:14.015812+00:00
VIN13_F_SM,P0_OPS,silence_overlay,AMBER,0.5225,silence_overlay,,False,False,True,2026-06-12T19:44:14.015812+00:00
VIN14_F_SM,P0,H2_dwell_fired,RED,0.9963,,,False,False,True,2026-06-12T19:44:14.015812+00:00
VIN14_F_SM,P0_OPS,silence_overlay,RED,0.9963,silence_overlay,,False,False,True,2026-06-12T19:44:14.015812+00:00
VIN20_NF_SM,P2,AMBER_tier,AMBER,0.3595,,,False,True,True,2026-06-12T19:44:14.015812+00:00
VIN20_NF_SM,P0_OPS,silence_overlay,AMBER,0.3595,silence_overlay,,False,True,True,2026-06-12T19:44:14.015812+00:00
VIN2_NF_SM,P0,H2_dwell_fired,RED,0.8395,,,True,False,False,2026-06-12T19:44:14.015812+00:00
VIN3_F_SM,P0,H2_dwell_fired,RED,0.8696,,,False,False,False,2026-06-12T19:44:14.015812+00:00
VIN5_F_SM,P0,H2_dwell_fired,RED,0.9996,,,False,False,True,2026-06-12T19:44:14.015812+00:00
VIN5_F_SM,P0_OPS,silence_overlay,RED,0.9996,silence_overlay,,False,False,True,2026-06-12T19:44:14.015812+00:00
VIN5_NF_SM,P1,RED_tier_no_channel_yet,RED,0.5763,,,True,False,False,2026-06-12T19:44:14.015812+00:00
VIN6_F_SM,P0,H2_dwell_fired,RED,0.9988,,,False,False,True,2026-06-12T19:44:14.015812+00:00
VIN6_F_SM,P0_OPS,silence_overlay,RED,0.9988,silence_overlay,,False,False,True,2026-06-12T19:44:14.015812+00:00
VIN6_NF_SM,P0,H2_dwell_fired,GREEN,0.1419,,,False,False,False,2026-06-12T19:44:14.015812+00:00
VIN7_F_SM,P0,H2_dwell_fired,RED,0.9338,,,False,False,True,2026-06-12T19:44:14.015812+00:00
VIN7_F_SM,P0_OPS,silence_overlay,RED,0.9338,silence_overlay,,False,False,True,2026-06-12T19:44:14.015812+00:00
VIN8_F_SM,P0,H2_dwell_fired,AMBER,0.4904,,,False,True,True,2026-06-12T19:44:14.015812+00:00
VIN8_F_SM,P0_OPS,silence_overlay,AMBER,0.4904,silence_overlay,,False,True,True,2026-06-12T19:44:14.015812+00:00
