vin,priority,trigger,tier,prob,evidence_summary,window_statement,watchlist_badge,sma_dead_badge,silence_trigger_active,timestamp
VIN10_F_SM,P2,AMBER_tier,AMBER,0.4418,,,False,False,True,2026-06-12T19:44:13.953235+00:00
VIN10_F_SM,P0_OPS,silence_overlay,AMBER,0.4418,silence_overlay,,False,False,True,2026-06-12T19:44:13.953235+00:00
VIN11_F_SM,P1,RED_tier_no_channel_yet,RED,0.6011,,,False,False,True,2026-06-12T19:44:13.953235+00:00
VIN11_F_SM,P0_OPS,silence_overlay,RED,0.6011,silence_overlay,,False,False,True,2026-06-12T19:44:13.953235+00:00
VIN12_F_SM,P2,AMBER_tier,AMBER,0.4928,,,False,False,True,2026-06-12T19:44:13.953235+00:00
VIN12_F_SM,P0_OPS,silence_overlay,AMBER,0.4928,silence_overlay,,False,False,True,2026-06-12T19:44:13.953235+00:00
VIN12_NF_SM,P2,AMBER_tier,AMBER,0.3639,,,False,True,False,2026-06-12T19:44:13.953235+00:00
VIN13_F_SM,P0,A2_battery_cascade_fired,GREEN,0.2804,,,False,False,True,2026-06-12T19:44:13.953235+00:00
VIN14_F_SM,P0,A2_battery_cascade_fired,RED,0.9997,,,False,False,True,2026-06-12T19:44:13.953235+00:00
VIN14_F_SM,P0_OPS,silence_overlay,RED,0.9997,silence_overlay,,False,False,True,2026-06-12T19:44:13.953235+00:00
VIN15_NF_SM,P2,AMBER_tier,AMBER,0.3615,,,True,False,False,2026-06-12T19:44:13.953235+00:00
VIN16_NF_SM,P1,RED_tier_no_channel_yet,RED,0.7144,,,False,False,False,2026-06-12T19:44:13.953235+00:00
VIN19_NF_SM,P2,AMBER_tier,AMBER,0.3777,,,False,False,False,2026-06-12T19:44:13.953235+00:00
VIN1_F_SM,P2,AMBER_tier,AMBER,0.4310,,,False,False,False,2026-06-12T19:44:13.953235+00:00
VIN2_NF_SM,P1,RED_tier_no_channel_yet,RED,0.5753,,,True,False,False,2026-06-12T19:44:13.953235+00:00
VIN3_F_SM,P0,A2_battery_cascade_fired,GREEN,0.0261,,,False,False,False,2026-06-12T19:44:13.953235+00:00
VIN3_NF_SM,P2,AMBER_tier,AMBER,0.3603,,,False,False,False,2026-06-12T19:44:13.953235+00:00
VIN5_F_SM,P1,RED_tier_no_channel_yet,RED,1.0000,,,False,False,True,2026-06-12T19:44:13.953235+00:00
VIN5_F_SM,P0_OPS,silence_overlay,RED,1.0000,silence_overlay,,False,False,True,2026-06-12T19:44:13.953235+00:00
VIN6_F_SM,P0,A2_battery_cascade_fired,RED,0.9250,,,False,False,True,2026-06-12T19:44:13.953235+00:00
VIN6_F_SM,P0_OPS,silence_overlay,RED,0.9250,silence_overlay,,False,False,True,2026-06-12T19:44:13.953235+00:00
VIN6_NF_SM,P1,RED_tier_no_channel_yet,RED,1.0000,,,False,False,False,2026-06-12T19:44:13.953235+00:00
VIN7_F_SM,P2,AMBER_tier,AMBER,0.5071,,,False,False,True,2026-06-12T19:44:13.953235+00:00
VIN7_F_SM,P0_OPS,silence_overlay,AMBER,0.5071,silence_overlay,,False,False,True,2026-06-12T19:44:13.953235+00:00
VIN8_F_SM,P2,AMBER_tier,AMBER,0.4115,,,False,True,True,2026-06-12T19:44:13.953235+00:00
VIN8_F_SM,P0_OPS,silence_overlay,AMBER,0.4115,silence_overlay,,False,True,True,2026-06-12T19:44:13.953235+00:00
VIN8_NF_SM,P2,AMBER_tier,AMBER,0.4890,,,True,False,False,2026-06-12T19:44:13.953235+00:00
VIN9_NF_SM,P2,AMBER_tier,AMBER,0.4202,,,False,False,False,2026-06-12T19:44:13.953235+00:00
