vin,priority,trigger,tier,prob,evidence_summary,window_statement,watchlist_badge,sma_dead_badge,silence_trigger_active,timestamp
VIN10_F_SM,P2,AMBER_tier,AMBER,0.5480,,,False,False,True,2026-06-12T19:44:14.004426+00:00
VIN10_F_SM,P0_OPS,silence_overlay,AMBER,0.5480,silence_overlay,,False,False,True,2026-06-12T19:44:14.004426+00:00
VIN10_NF_SM,P2,AMBER_tier,AMBER,0.3702,,,False,True,True,2026-06-12T19:44:14.004426+00:00
VIN10_NF_SM,P0_OPS,silence_overlay,AMBER,0.3702,silence_overlay,,False,True,True,2026-06-12T19:44:14.004426+00:00
VIN11_F_SM,P1,RED_tier_no_channel_yet,RED,0.6853,,,False,False,True,2026-06-12T19:44:14.004426+00:00
VIN11_F_SM,P0_OPS,silence_overlay,RED,0.6853,silence_overlay,,False,False,True,2026-06-12T19:44:14.004426+00:00
VIN12_F_SM,P2,AMBER_tier,AMBER,0.4618,,,False,False,True,2026-06-12T19:44:14.004426+00:00
VIN12_F_SM,P0_OPS,silence_overlay,AMBER,0.4618,silence_overlay,,False,False,True,2026-06-12T19:44:14.004426+00:00
VIN13_F_SM,P0,A2_battery_cascade_fired,GREEN,0.1845,,,False,False,True,2026-06-12T19:44:14.004426+00:00
VIN14_F_SM,P0,H2_dwell_fired,RED,0.9985,,,False,False,True,2026-06-12T19:44:14.004426+00:00
VIN14_F_SM,P0_OPS,silence_overlay,RED,0.9985,silence_overlay,,False,False,True,2026-06-12T19:44:14.004426+00:00
VIN19_NF_SM,P2,AMBER_tier,AMBER,0.3682,,,False,False,False,2026-06-12T19:44:14.004426+00:00
VIN2_F_SM,P2,AMBER_tier,AMBER,0.4197,,,False,False,True,2026-06-12T19:44:14.004426+00:00
VIN2_F_SM,P0_OPS,silence_overlay,AMBER,0.4197,silence_overlay,,False,False,True,2026-06-12T19:44:14.004426+00:00
VIN2_NF_SM,P0,H2_dwell_fired,RED,0.9947,,,True,False,False,2026-06-12T19:44:14.004426+00:00
VIN3_F_SM,P0,H2_dwell_fired,RED,0.7399,,,False,False,False,2026-06-12T19:44:14.004426+00:00
VIN5_F_SM,P0,H2_dwell_fired,RED,0.9994,,,False,False,True,2026-06-12T19:44:14.004426+00:00
VIN5_F_SM,P0_OPS,silence_overlay,RED,0.9994,silence_overlay,,False,False,True,2026-06-12T19:44:14.004426+00:00
VIN5_NF_SM,P2,AMBER_tier,AMBER,0.4472,,,True,False,False,2026-06-12T19:44:14.005257+00:00
VIN6_F_SM,P0,H2_dwell_fired,RED,0.9834,,,False,False,True,2026-06-12T19:44:14.005257+00:00
VIN6_F_SM,P0_OPS,silence_overlay,RED,0.9834,silence_overlay,,False,False,True,2026-06-12T19:44:14.005257+00:00
VIN6_NF_SM,P0,H2_dwell_fired,GREEN,0.1332,,,False,False,False,2026-06-12T19:44:14.005257+00:00
VIN7_F_SM,P0,H2_dwell_fired,RED,0.9925,,,False,False,True,2026-06-12T19:44:14.005257+00:00
VIN7_F_SM,P0_OPS,silence_overlay,RED,0.9925,silence_overlay,,False,False,True,2026-06-12T19:44:14.005257+00:00
VIN7_NF_SM,P2,AMBER_tier,AMBER,0.3794,,,False,False,False,2026-06-12T19:44:14.005257+00:00
VIN8_F_SM,P0,H2_dwell_fired,AMBER,0.5334,,,False,True,True,2026-06-12T19:44:14.005257+00:00
VIN8_F_SM,P0_OPS,silence_overlay,AMBER,0.5334,silence_overlay,,False,True,True,2026-06-12T19:44:14.005257+00:00
