vin,priority,trigger,tier,prob,evidence_summary,window_statement,watchlist_badge,sma_dead_badge,silence_trigger_active,timestamp
VIN10_F_SM,P1,RED_tier_no_channel_yet,RED,0.5905,,,False,False,True,2026-06-12T19:44:13.981547+00:00
VIN10_F_SM,P0_OPS,silence_overlay,RED,0.5905,silence_overlay,,False,False,True,2026-06-12T19:44:13.981547+00:00
VIN10_NF_SM,P2,AMBER_tier,AMBER,0.4244,,,False,True,True,2026-06-12T19:44:13.981547+00:00
VIN10_NF_SM,P0_OPS,silence_overlay,AMBER,0.4244,silence_overlay,,False,True,True,2026-06-12T19:44:13.981547+00:00
VIN11_F_SM,P2,AMBER_tier,AMBER,0.4529,,,False,False,True,2026-06-12T19:44:13.981547+00:00
VIN11_F_SM,P0_OPS,silence_overlay,AMBER,0.4529,silence_overlay,,False,False,True,2026-06-12T19:44:13.981547+00:00
VIN12_F_SM,P2,AMBER_tier,AMBER,0.5438,,,False,False,True,2026-06-12T19:44:13.981547+00:00
VIN12_F_SM,P0_OPS,silence_overlay,AMBER,0.5438,silence_overlay,,False,False,True,2026-06-12T19:44:13.981547+00:00
VIN13_F_SM,P0,A2_battery_cascade_fired,GREEN,0.3161,,,False,False,True,2026-06-12T19:44:13.981547+00:00
VIN14_F_SM,P0,H2_dwell_fired,RED,0.9987,,,False,False,True,2026-06-12T19:44:13.981547+00:00
VIN14_F_SM,P0_OPS,silence_overlay,RED,0.9987,silence_overlay,,False,False,True,2026-06-12T19:44:13.981547+00:00
VIN2_F_SM,P2,AMBER_tier,AMBER,0.4666,,,False,False,True,2026-06-12T19:44:13.981547+00:00
VIN2_F_SM,P0_OPS,silence_overlay,AMBER,0.4666,silence_overlay,,False,False,True,2026-06-12T19:44:13.999632+00:00
VIN2_NF_SM,P0,H2_dwell_fired,RED,0.9823,,,True,False,False,2026-06-12T19:44:13.999632+00:00
VIN3_F_SM,P0,A2_battery_cascade_fired,RED,0.7865,,,False,False,False,2026-06-12T19:44:13.999632+00:00
VIN4_F_SM,P2,AMBER_tier,AMBER,0.3503,,,False,False,True,2026-06-12T19:44:13.999632+00:00
VIN4_F_SM,P0_OPS,silence_overlay,AMBER,0.3503,silence_overlay,,False,False,True,2026-06-12T19:44:13.999632+00:00
VIN5_F_SM,P0,H2_dwell_fired,RED,0.9996,,,False,False,True,2026-06-12T19:44:13.999632+00:00
VIN5_F_SM,P0_OPS,silence_overlay,RED,0.9996,silence_overlay,,False,False,True,2026-06-12T19:44:13.999632+00:00
VIN5_NF_SM,P2,AMBER_tier,AMBER,0.4991,,,True,False,False,2026-06-12T19:44:14.000649+00:00
VIN6_F_SM,P0,H2_dwell_fired,RED,0.9932,,,False,False,True,2026-06-12T19:44:14.000649+00:00
VIN6_F_SM,P0_OPS,silence_overlay,RED,0.9932,silence_overlay,,False,False,True,2026-06-12T19:44:14.000649+00:00
VIN6_NF_SM,P0,H2_dwell_fired,GREEN,0.2253,,,False,False,False,2026-06-12T19:44:14.000649+00:00
VIN7_F_SM,P0,H2_dwell_fired,RED,0.9860,,,False,False,True,2026-06-12T19:44:14.000649+00:00
VIN7_F_SM,P0_OPS,silence_overlay,RED,0.9860,silence_overlay,,False,False,True,2026-06-12T19:44:14.000649+00:00
VIN7_NF_SM,P2,AMBER_tier,AMBER,0.4124,,,False,False,False,2026-06-12T19:44:14.000649+00:00
VIN8_F_SM,P0,H2_dwell_fired,RED,0.5810,,,False,True,True,2026-06-12T19:44:14.000649+00:00
VIN8_F_SM,P0_OPS,silence_overlay,RED,0.5810,silence_overlay,,False,True,True,2026-06-12T19:44:14.000649+00:00
