vin,priority,trigger,tier,prob,evidence_summary,window_statement,watchlist_badge,sma_dead_badge,silence_trigger_active,timestamp
VIN10_F_SM,P1,RED_tier_no_channel_yet,RED,0.6020,,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN10_F_SM,P0_OPS,silence_overlay,RED,0.6020,silence_overlay,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN10_NF_SM,P2,AMBER_tier,AMBER,0.4325,,,False,True,True,2026-06-12T19:44:14.011806+00:00
VIN10_NF_SM,P0_OPS,silence_overlay,AMBER,0.4325,silence_overlay,,False,True,True,2026-06-12T19:44:14.011806+00:00
VIN11_F_SM,P1,RED_tier_no_channel_yet,RED,0.8810,,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN11_F_SM,P0_OPS,silence_overlay,RED,0.8810,silence_overlay,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN12_F_SM,P1,RED_tier_no_channel_yet,RED,0.5638,,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN12_F_SM,P0_OPS,silence_overlay,RED,0.5638,silence_overlay,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN13_F_SM,P0,A2_battery_cascade_fired,GREEN,0.0495,,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN14_F_SM,P0,H2_dwell_fired,RED,0.9985,,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN14_F_SM,P0_OPS,silence_overlay,RED,0.9985,silence_overlay,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN19_NF_SM,P2,AMBER_tier,AMBER,0.4548,,,False,False,False,2026-06-12T19:44:14.011806+00:00
VIN2_F_SM,P2,AMBER_tier,AMBER,0.4253,,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN2_F_SM,P0_OPS,silence_overlay,AMBER,0.4253,silence_overlay,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN2_NF_SM,P0,H2_dwell_fired,RED,0.9743,,,True,False,False,2026-06-12T19:44:14.011806+00:00
VIN3_F_SM,P0,H2_dwell_fired,RED,0.8054,,,False,False,False,2026-06-12T19:44:14.011806+00:00
VIN4_F_SM,P2,AMBER_tier,AMBER,0.3697,,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN4_F_SM,P0_OPS,silence_overlay,AMBER,0.3697,silence_overlay,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN5_F_SM,P0,H2_dwell_fired,RED,0.9999,,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN5_F_SM,P0_OPS,silence_overlay,RED,0.9999,silence_overlay,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN5_NF_SM,P2,AMBER_tier,AMBER,0.4746,,,True,False,False,2026-06-12T19:44:14.011806+00:00
VIN6_F_SM,P0,H2_dwell_fired,RED,0.9895,,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN6_F_SM,P0_OPS,silence_overlay,RED,0.9895,silence_overlay,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN6_NF_SM,P0,H2_dwell_fired,GREEN,0.0601,,,False,False,False,2026-06-12T19:44:14.011806+00:00
VIN7_F_SM,P0,H2_dwell_fired,RED,0.9559,,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN7_F_SM,P0_OPS,silence_overlay,RED,0.9559,silence_overlay,,False,False,True,2026-06-12T19:44:14.011806+00:00
VIN7_NF_SM,P2,AMBER_tier,AMBER,0.4246,,,False,False,False,2026-06-12T19:44:14.011806+00:00
VIN8_F_SM,P0,H2_dwell_fired,RED,0.5742,,,False,True,True,2026-06-12T19:44:14.011806+00:00
VIN8_F_SM,P0_OPS,silence_overlay,RED,0.5742,silence_overlay,,False,True,True,2026-06-12T19:44:14.011806+00:00
