vin,priority,trigger,tier,prob,evidence_summary,window_statement,watchlist_badge,sma_dead_badge,silence_trigger_active,timestamp
VIN10_F_SM,P2,AMBER_tier,AMBER,0.5250,,,False,False,True,2026-06-12T19:44:13.956810+00:00
VIN10_F_SM,P0_OPS,silence_overlay,AMBER,0.5250,silence_overlay,,False,False,True,2026-06-12T19:44:13.956810+00:00
VIN11_F_SM,P2,AMBER_tier,AMBER,0.5002,,,False,False,True,2026-06-12T19:44:13.956810+00:00
VIN11_F_SM,P0_OPS,silence_overlay,AMBER,0.5002,silence_overlay,,False,False,True,2026-06-12T19:44:13.956810+00:00
VIN12_F_SM,P2,AMBER_tier,AMBER,0.4213,,,False,False,True,2026-06-12T19:44:13.956810+00:00
VIN12_F_SM,P0_OPS,silence_overlay,AMBER,0.4213,silence_overlay,,False,False,True,2026-06-12T19:44:13.956810+00:00
VIN13_F_SM,P0,A2_battery_cascade_fired,GREEN,0.2832,,,False,False,True,2026-06-12T19:44:13.956810+00:00
VIN14_F_SM,P0,H2_dwell_fired,RED,0.9998,,,False,False,True,2026-06-12T19:44:13.956810+00:00
VIN14_F_SM,P0_OPS,silence_overlay,RED,0.9998,silence_overlay,,False,False,True,2026-06-12T19:44:13.956810+00:00
VIN19_NF_SM,P2,AMBER_tier,AMBER,0.5004,,,False,False,False,2026-06-12T19:44:13.956810+00:00
VIN20_NF_SM,P1,RED_tier_no_channel_yet,RED,0.6012,,,False,True,True,2026-06-12T19:44:13.956810+00:00
VIN20_NF_SM,P0_OPS,silence_overlay,RED,0.6012,silence_overlay,,False,True,True,2026-06-12T19:44:13.956810+00:00
VIN2_NF_SM,P0,H2_dwell_fired,RED,0.8975,,,True,False,False,2026-06-12T19:44:13.956810+00:00
VIN3_F_SM,P0,A2_battery_cascade_fired,GREEN,0.3109,,,False,False,False,2026-06-12T19:44:13.956810+00:00
VIN3_NF_SM,P2,AMBER_tier,AMBER,0.4376,,,False,False,False,2026-06-12T19:44:13.956810+00:00
VIN4_F_SM,P2,AMBER_tier,AMBER,0.3505,,,False,False,True,2026-06-12T19:44:13.956810+00:00
VIN4_F_SM,P0_OPS,silence_overlay,AMBER,0.3505,silence_overlay,,False,False,True,2026-06-12T19:44:13.956810+00:00
VIN5_F_SM,P0,H2_dwell_fired,RED,1.0000,,,False,False,True,2026-06-12T19:44:13.956810+00:00
VIN5_F_SM,P0_OPS,silence_overlay,RED,1.0000,silence_overlay,,False,False,True,2026-06-12T19:44:13.956810+00:00
VIN6_F_SM,P0,H2_dwell_fired,RED,0.9270,,,False,False,True,2026-06-12T19:44:13.956810+00:00
VIN6_F_SM,P0_OPS,silence_overlay,RED,0.9270,silence_overlay,,False,False,True,2026-06-12T19:44:13.956810+00:00
VIN6_NF_SM,P0,H2_dwell_fired,RED,0.5874,,,False,False,False,2026-06-12T19:44:13.956810+00:00
VIN7_F_SM,P1,RED_tier_no_channel_yet,RED,0.8559,,,False,False,True,2026-06-12T19:44:13.956810+00:00
VIN7_F_SM,P0_OPS,silence_overlay,RED,0.8559,silence_overlay,,False,False,True,2026-06-12T19:44:13.956810+00:00
VIN8_F_SM,P1,RED_tier_no_channel_yet,RED,0.6296,,,False,True,True,2026-06-12T19:44:13.956810+00:00
VIN8_F_SM,P0_OPS,silence_overlay,RED,0.6296,silence_overlay,,False,True,True,2026-06-12T19:44:13.956810+00:00
