vin_label,failed,sma_dead,cranks_per_active_day,active_days_per_week,rpm_mean,csp_mean,anr_pos_mean,rows_per_active_day
VIN10_F_SM,True,False,0.33653846153846156,6.709677419354839,887.36084,18.338938,364.40808,4418.240384615385
VIN10_NF_SM,False,True,1.0522565320665083,6.901639344262295,1011.5386,34.06139,534.0121,7526.855106888361
VIN11_F_SM,True,False,0.4314606741573034,6.846153846153846,950.84033,30.781197,464.94308,6072.795505617977
VIN11_NF_SM,False,True,8.446938775510205,6.621621621621622,755.6242,19.180996,404.91956,9547.802040816327
VIN12_F_SM,True,False,1.0145348837209303,6.88,825.75916,26.988663,415.76404,7240.377906976744
VIN12_NF_SM,False,True,0.6639004149377593,6.820754716981132,857.1121,27.792135,482.89246,4415.6486860304285
VIN13_F_SM,True,False,0.34347826086956523,6.865671641791045,953.25226,28.314466,398.52222,3543.304347826087
VIN13_NF_SM,False,True,0.8187022900763359,6.313253012048193,975.5128,30.46021,412.26895,7382.967557251908
VIN14_F_SM,True,False,1.463894967177243,6.6231884057971016,952.7501,21.83826,433.26453,6308.844638949672
VIN14_NF_SM,False,False,0.28789986091794156,6.657407407407407,909.8812,25.101782,434.83597,4760.425591098749
VIN15_NF_SM,False,False,1.3065187239944522,6.738317757009346,828.272,22.732157,417.81543,4427.137309292649
VIN16_NF_SM,False,False,0.44173913043478263,6.182795698924731,859.3392,17.9612,316.32834,9243.629565217392
VIN17_NF_SM,False,False,1.3034934497816595,6.735294117647059,783.1752,24.881554,369.667,7368.089519650655
VIN18_NF_SM,False,False,0.6459731543624161,6.340425531914893,1013.85974,22.530285,455.65164,6633.362416107382
VIN19_NF_SM,False,False,0.33554817275747506,6.543478260869565,922.02765,24.278988,344.7343,5982.785714285715
VIN1_F_SM,True,False,1.7901639344262295,6.48936170212766,821.96014,19.669043,384.61646,4273.681967213115
VIN1_NF_SM,False,False,0.4517133956386293,6.484848484848484,951.50964,18.987087,350.83368,7009.6386292834895
VIN20_NF_SM,False,True,2.4313099041533546,6.8791208791208796,906.44904,24.53747,402.81982,6984.08785942492
VIN2_F_SM,True,False,0.8343558282208589,6.52,837.54694,30.09918,402.68384,5174.417177914111
VIN2_NF_SM,False,False,0.4090247452692867,6.669902912621359,941.27094,24.759462,396.99298,4861.687045123726
VIN3_F_SM,True,False,1.0564516129032258,6.702702702702703,770.9388,11.276111,191.94136,4698.931451612903
VIN3_NF_SM,False,False,0.3492063492063492,6.861386138613861,1004.99945,27.121943,395.00153,4721.699855699856
VIN4_F_SM,True,False,1.6158940397350994,6.863636363636363,957.5696,27.953661,429.73645,8126.76821192053
VIN4_NF_SM,False,False,1.7431972789115646,6.533333333333333,919.3312,24.969149,431.82874,6403.933673469388
VIN5_F_SM,True,False,0.3607305936073059,6.636363636363637,921.5882,28.456018,506.4145,5825.881278538813
VIN5_NF_SM,False,False,1.2234726688102895,6.479166666666667,861.5381,17.465166,349.25284,6840.663987138264
VIN6_F_SM,True,False,0.4823232323232323,6.827586206896552,926.0873,30.677208,422.4321,5604.881313131313
VIN6_NF_SM,False,False,1.1378737541528239,6.473118279569892,792.24896,23.014795,391.7941,5935.25415282392
VIN7_F_SM,True,False,1.4217311233885819,6.8734177215189876,823.808,21.17558,432.9139,5034.03314917127
VIN7_NF_SM,False,False,0.8271954674220963,6.788461538461538,931.24976,30.771166,437.19992,5653.739376770538
VIN8_F_SM,True,True,3.526508226691042,6.670731707317073,675.15796,19.355242,390.57748,8779.965265082266
VIN8_NF_SM,False,False,0.7384393063583815,6.718446601941747,802.81396,28.084766,417.0888,4840.583815028902
VIN9_F_SM,True,True,1.3652694610778444,6.77027027027027,993.2201,26.565886,457.0558,7605.862275449102
VIN9_NF_SM,False,False,0.2,6.4,871.4365,28.914957,460.99088,5207.29375
